Loan_ID,Customer_ID,Disbursal_Date,Loan_Amount,Tenure_Months,Interest_Rate,EMI_Amount,Vehicle_Type,Branch
LN000956,CU002697,12 Sep 2022,200755,60,11.35,4400.02,Two Wheeler,Delhi NCR
LN004550,CU003982,17 Feb 2024,194619,24,12.24,9183.22,TWO WHEELER,Mumbai
LN003546,CU003231,10/04/2022,286820,24,17.74,14283.22,2 Wheeler,Thrissur
LN000979,CU001537,24-05-2024,"₹218,520",24,10.26,10109.83,TRACTOR,Thrissur
LN004943,CU000789,04/06/2024,157031,48,15.69,4425.41,Two-Wheeler,Hyderabad
LN000983,CU002346,2021-12-13,114398,36,12.29,3815.52,Car ,Bangalore
LN003367,CU004570,14 Jun 2023,70943,36,13.44,2405.41,N/A,Bangalore
LN003278,CU003605,2021-11-15,93879,36,15.6,3282.0,Car ,Kozhikode
LN004644,CU003624,06 Apr 2024,321093,36,12.41,10727.87,CV,  Mumbai 
LN004202,CU003285,25-03-2023,133960,24,13.95,6428.64,commercial vehicle,Kochi
LN004177,CU000963,25-11-2021,178999,36,17.03,6384.48,car,Chennai
LN001173,CU004417,30/12/2022,95190,12,15.35,8607.42,car,Kolkata
LN002392,CU000435,10-09-2021,"₹113,512",36,18.29,4120.26,Car,Delhi NCR
LN002625,CU000105,2021-01-24,208645,48,12.72,5568.47,Two Wheeler,Coimbatore
LN004199,CU001619,23 Jan 2021,"₹112,245",36,14.16,3845.0,commercial vehicle,Mumbai
LN001268,CU000293,09-08-2022,327001,36,16.24,11535.17,Car ,Mumbai
LN003466,CU003189,06 Oct 2021,117791,24,14.48,5682.23,car,Hyderabad
LN003210,CU002246,21/08/2023,140927,36,13.6,4789.22,2 Wheeler,Hyderabad
LN003843,CU004403,2023-11-20,138231,60,12.43,3104.99,two wheeler,Bangalore
LN004251,CU000152,2022-10-01,271283,60,17.24,6777.14,Tractor,  Coimbatore 
LN000678,CU003623,29-04-2022,289545,12,9.78,25425.99,CAR,Kozhikode
LN001243,CU000925,2021-05-18,"₹98,446",48,16.99,2840.15,car,Chennai
LN001306,CU004172,01-12-2021,132364,48,10.66,3399.2,2 Wheeler,Mumbai
LN004712,CU003160,04 Nov 2023,180462,48,12.91,4833.29,Car,  Chennai 
LN000239,CU000094,06 Nov 2022,107869,36,13.44,3657.44,car,  Kolkata 
LN002837,CU002145,10-06-2021,182125,48,13.47,4928.55,TWO WHEELER,Mumbai
LN000684,CU000767,2023-12-11,112804,24,11.17,5266.46,two wheeler,Ahmedabad
LN004208,CU000751,19-08-2021,"₹195,835",36,12.8,6579.61,Two-Wheeler,Delhi NCR
LN000794,CU001622,11/01/2021,122973,24,13.42,5870.65,Car ,Pune
LN004554,CU004267,11/01/2022,188251,24,13.12,8960.41,CAR,Ahmedabad
LN002810,CU004562,21/02/2023,63078,36,11.4,2077.06,Car,Bangalore
LN000812,CU000852,31/01/2021,"₹171,532",24,12.62,8124.36,TRACTOR,Ahmedabad
LN002220,CU003165,01/09/2022,60356,60,16.77,1492.55,Car ,Hyderabad
LN004051,CU000333,25 Sep 2023,177810,48,15.79,5020.08,Car,Mumbai
LN004640,CU003036,07/13/2022,405368,24,16.85,20013.11,Commercial  Vehicle,Delhi NCR
LN000314,CU001940,03 Dec 2022,"₹143,386",36,12.83,4819.51,tractor,Kozhikode
LN004347,CU003854,2022-11-16,65927,36,13.06,2223.25,Tractor,  Hyderabad 
LN001093,CU002311,2022-01-13,146782,12,17.2,13401.15,CAR,Bangalore
LN001318,CU003523,2024-04-28,"₹60,266",24,16.19,2956.28,Two-Wheeler,Delhi NCR
LN001212,CU003431,01-11-2022,276121,24,12.45,13056.08,two wheeler,Hyderabad
LN001354,CU002307,11-10-2021,168263,36,14.71,5809.02,CAR,Coimbatore
LN003784,CU003870,20 Jan 2021,193673,48,17.85,5673.98,N/A,Kozhikode
LN004619,CU003262,03/30/2021,"₹161,774",36,12.29,5395.65,two wheeler,Chennai
LN000522,CU003958,2021-04-29,118168,36,16.07,4158.52,Commercial  Vehicle,Pune
LN003537,CU001967,04 Mar 2023,126490,12,14.84,11407.23,Car ,Chennai
LN002533,CU000055,23 Aug 2023,175443,48,11.47,4574.56,two wheeler,Kochi
LN000342,CU003636,05/11/2021,"₹277,889",48,17.99,8161.54,Commercial Vehicle,Mumbai
LN000323,CU000963,05/12/2024,160488,48,12.46,4262.6,Commercial Vehicle,Kozhikode
LN002329,CU001487,01 May 2023,273298,24,13.13,13009.78,Car ,Bangalore
LN002127,CU000127,2022-03-15,240463,36,11.66,7947.82,two wheeler,Delhi NCR
LN000650,CU002160,02/02/2024,151593,48,14.27,4163.06,2 Wheeler,Delhi NCR
LN004639,CU001882,19/04/2022,131819,48,12.21,3484.91,Two-Wheeler,Kochi
LN003401,CU001483,18/05/2023,40000,36,13.63,1359.93,Two Wheeler,Ahmedabad
LN004995,CU003237,04/01/2021,125567,24,18.21,6281.57,commercial vehicle,Thrissur
LN003332,CU002368,03/03/2024,"₹40,000",24,17.17,1980.96,Tractor,Ahmedabad
LN000799,CU000067,08/16/2022,77412,36,,2715.47,Commercial  Vehicle,Kochi
LN001206,CU002405,20/04/2024,240981,36,11.29,7922.54,car,Hyderabad
LN000122,CU002940,04/03/2024,104957,48,14.95,2918.37,two wheeler,Kolkata
LN000623,CU002964,28/11/2022,"₹111,117",24,12.24,5243.13,two wheeler,Kolkata
LN002593,CU001408,13-06-2022,89760,60,16.46,2204.79,Commercial  Vehicle,Mumbai
LN000219,CU001415,11-04-2021,"₹101,469",48,10.62,2603.83,CAR,Delhi NCR
LN000804,CU004329,05/02/2023,180738,36,16.52,6400.71,Two Wheeler,Delhi NCR
LN000627,CU001094,08/01/2023,133746,12,16.89,12191.29,TRACTOR,Kozhikode
LN001035,CU000949,04/13/2022,"₹155,746",48,14.92,4328.21,car,Pune
LN001720,CU001860,2021-06-11,89635,36,17.84,3233.33,Car,Pune
LN000036,CU001609,24/10/2023,126471,12,16.45,11501.77,car,Hyderabad
LN002086,CU002220,14-10-2023,104724,24,11.86,4922.88,Car,Kolkata
LN001331,CU000950,2021-09-05,267978,36,17.13,9571.49,CV,Delhi NCR
LN004156,CU003923,18/07/2021,148461,24,16.67,7316.73,2 Wheeler,Thrissur
LN001957,CU002906,14/06/2021,184931,12,11.84,16417.06,CAR,Mumbai
LN004836,CU002751,07/07/2022,123598,24,16.49,6080.72,two wheeler,Thrissur
LN000747,CU003150,19 Jan 2022,"₹160,343",24,14.06,7703.08,car,Thrissur
LN003729,CU001330,05/16/2023,134562,60,13.73,3112.22,Tractor,Mumbai
LN002926,CU002617,2023-08-06,"₹122,445",60,12.23,2737.97,Car,Kolkata
LN003660,CU003529,10/09/2023,293877,12,12.6,26193.17,CV,Kozhikode
LN004763,CU001891,14 Mar 2024,115422,12,9.87,10140.45,two wheeler,Chennai
LN003797,CU003358,13/12/2022,97274,12,10.65,8581.36,2 Wheeler,  Kochi 
LN003468,CU003861,22-10-2021,344393,24,13.76,16496.28,2 Wheeler,Delhi NCR
LN001800,CU003855,29/01/2022,129176,36,14.33,4435.66,commercial vehicle,Hyderabad
LN000120,CU001945,11/01/2022,106901,24,14.25,5145.26,Commercial  Vehicle,Mumbai
LN002918,CU003926,06 Mar 2023,76115,60,17.84,1926.2,CAR,Delhi NCR
LN003102,CU000383,07 Aug 2021,"₹173,464",36,18.23,6291.17,CAR,Thrissur
LN004908,CU001917,2024-04-04,249395,36,17.47,8950.06,CAR,Delhi NCR
LN004007,CU004432,2021-01-15,"₹125,395",24,16.54,6172.13,Two-Wheeler,Hyderabad
LN000130,CU002277,18-05-2022,271903,24,17.31,13484.04,Two Wheeler,Kochi
LN002317,CU002539,04-12-2021,"₹119,978",48,10.58,3076.48,CAR,Ahmedabad
LN002742,CU003781,12/06/2021,"₹213,562",24,17.38,10598.02,CAR,Mumbai
LN001593,CU002528,10/26/2023,106264,36,13.96,3629.79,Two Wheeler,Pune
LN000376,CU001090,08/08/2023,94346,36,18.43,3431.22,car,Pune
LN000583,CU003094,2023-10-05,53404,24,15.32,2597.51,car,Mumbai
LN004176,CU000369,03/08/2022,122909,48,16.46,3512.3,Commercial  Vehicle,  Bangalore 
LN000320,CU000349,02 Nov 2023,"₹193,446",36,12.6,6480.75,Tractor,Kozhikode
LN002070,CU000452,04 May 2023,45879,24,,2202.78,commercial vehicle,Mumbai
LN001987,CU000001,29/07/2022,91636,24,10.52,4250.56,Two-Wheeler,Kozhikode
LN002551,CU003263,2021-04-24,120260,60,11.78,2661.77,Two-Wheeler,Ahmedabad
LN001480,CU000833,04 Nov 2021,125518,48,,3690.37,Car,Pune
LN000897,CU004476,06/08/2021,"₹82,813",36,18.09,2997.63,Two-Wheeler,Hyderabad
LN002353,CU001773,06/30/2023,"₹40,000",24,11.27,1869.33,CAR,Kozhikode
LN004867,CU004444,2021-10-28,192064,24,12.54,9089.63,TWO WHEELER,Ahmedabad
LN001885,CU003608,18-06-2021,217821,24,10.26,10077.49,2 Wheeler,Thrissur
LN001745,CU003545,07 Jun 2021,106778,36,9.52,3421.41,Two-Wheeler,Ahmedabad
LN000028,CU000709,2023-10-10,46372,48,17.42,1348.16,Car ,Kolkata
LN001806,CU002215,12-07-2021,75457,36,10.07,2437.27,CAR,Kozhikode
LN002226,CU003937,05/12/2022,120577,24,18.39,6042.44,Two Wheeler,  Thrissur 
LN003279,CU002106,03 Dec 2022,45721,24,14.68,2209.91,tractor,Chennai
LN003738,CU004583,08/01/2022,141969,36,9.79,4566.96,Commercial  Vehicle,Thrissur
LN002119,CU003121,13 Dec 2022,97437,36,13.52,3307.5,Commercial  Vehicle,Hyderabad
LN003968,CU004119,2021-05-24,"₹162,187",12,11.09,14341.17,two wheeler,Coimbatore
LN003203,CU001991,02-01-2023,97831,36,9.99,3156.27,two wheeler,Pune
LN000490,CU003373,05/26/2021,109693,24,16.58,5401.36,Two Wheeler,Mumbai
LN003897,CU003850,04/30/2021,184997,36,13.76,6301.22,Car ,Delhi NCR
LN000506,CU004490,14/04/2024,"₹338,058",12,9.72,29676.66,Commercial Vehicle,Kozhikode
LN001081,CU001179,2023-06-29,200779,60,10.19,4284.75,Car,Hyderabad
LN003679,CU004231,05/29/2024,93974,60,17.73,2372.54,tractor,Chennai
LN004026,CU004137,05/24/2024,46183,48,17.5,1344.59,Tractor,Thrissur
LN002144,CU004332,28/04/2023,260367,36,14.71,8988.78,Two-Wheeler,  Pune 
LN001849,CU001539,2022-07-08,232301,12,16.22,21101.06,TWO WHEELER,Hyderabad
LN002557,CU003260,01/01/2024,117932,60,,2671.26,Two Wheeler,Kozhikode
LN001502,CU004039,03/03/2022,316255,48,14.48,8718.48,Car ,Pune
LN001154,CU000106,31-08-2021,132176,36,18.1,4785.11,Commercial  Vehicle,Kolkata
LN001776,CU002802,05 Aug 2021,74387,36,11.69,2459.71,Commercial  Vehicle,Ahmedabad
LN003601,CU001784,28/01/2024,92944,36,14.14,3182.93,TWO WHEELER,Kolkata
LN000977,CU004179,25/01/2023,166725,60,13.76,3858.69,Car,Ahmedabad
LN001712,CU002566,02/12/2023,154702,36,12.78,5196.14,Commercial Vehicle,Delhi NCR
LN000089,CU004163,11/05/2023,"₹366,001",48,13.15,9846.16,Car ,Hyderabad
LN004761,CU001614,18/08/2022,140896,48,10.43,3602.65,TWO WHEELER,Kozhikode
LN002765,CU002320,01/27/2024,160489,48,11.0,4147.92,Car,Ahmedabad
LN001424,CU004494,2022-03-11,136850,36,17.6,4920.04,CAR,Coimbatore
LN000271,CU001556,03-09-2022,54971,60,11.93,1220.86,2 Wheeler,Kozhikode
LN000538,CU003418,21 Jun 2021,54355,12,14.01,4880.63,Car ,Hyderabad
LN002418,CU000386,01 Jul 2021,84836,48,14.65,2346.03,tractor,Chennai
LN004168,CU004348,09 Dec 2023,253656,36,15.8,8892.77,TWO WHEELER,Delhi NCR
LN001112,CU004406,13 Oct 2021,125540,24,11.7,5892.03,2 Wheeler,Delhi NCR
LN004044,CU000095,24/04/2024,"₹135,884",48,11.65,3555.04,TRACTOR,Coimbatore
LN000587,CU000155,2022-11-21,"₹89,175",48,18.1,2624.18,two wheeler,Kolkata
LN004186,CU004067,06/08/2022,116044,48,15.38,3251.99,2 Wheeler,Kochi
LN003491,CU001827,2024-03-31,86194,60,11.57,1898.66,tractor,Ahmedabad
LN001282,CU000902,25-09-2023,127729,36,16.63,4530.4,two wheeler,Ahmedabad
LN003941,CU004163,10/16/2022,178688,48,12.1,4714.32,Car ,Kolkata
LN001836,CU001430,11/05/2022,206462,36,15.22,7179.34,2 Wheeler,Ahmedabad
LN002117,CU004032,24/12/2023,243953,36,12.26,8133.06,CAR,Delhi NCR
LN004392,CU001353,19/05/2022,140620,36,11.88,4662.54,commercial vehicle,Pune
LN003921,CU000191,05/12/2024,78986,48,13.79,2150.1,two wheeler,  Bangalore 
LN002714,CU001774,05/13/2024,"₹234,742",36,12.28,7828.22,CV,Chennai
LN004479,CU001535,09/09/2021,150971,48,12.26,3994.95,TRACTOR,Hyderabad
LN001827,CU000319,18-10-2022,229898,36,16.16,8100.7,CAR,Mumbai
LN003428,CU003103,13/03/2021,191638,24,18.25,9590.52,commercial vehicle,Chennai
LN004238,CU000107,2023-10-01,83121,12,11.13,7351.41,CAR,Hyderabad
LN000525,CU003150,07-06-2021,190868,36,12.41,6376.99,car,Kozhikode
LN001519,CU001997,22-11-2021,176435,36,11.11,5785.45,CAR,Coimbatore
LN001508,CU001628,07/03/2022,160283,48,16.53,4586.09,car,Delhi NCR
LN001130,CU000063,14 Jan 2022,103245,36,12.35,3446.5,Tractor,Chennai
LN003396,CU003887,01/05/2022,341414,24,,16575.12,commercial vehicle,Thrissur
LN001365,CU000568,24-03-2023,"₹88,233",48,11.44,2299.33,Two-Wheeler,Kozhikode
LN001838,CU003469,05/13/2024,"₹92,425",48,10.59,2370.41,2 Wheeler,Chennai
LN003141,CU001862,15 Jan 2021,210254,12,13.66,18844.48,Tractor,Coimbatore
LN001916,CU003157,06 Feb 2022,174461,36,14.61,6014.48,Car ,Pune
LN001862,CU002204,23-02-2022,78950,48,14.68,2184.45,two wheeler,Pune
LN001421,CU000031,13-12-2022,135768,36,15.18,4718.42,Two-Wheeler,Kozhikode
LN000199,CU000604,22/09/2021,160088,24,11.34,7486.65,Two-Wheeler,Pune
LN002188,CU002301,14 Jan 2024,"₹306,324",36,11.95,10167.03,Commercial Vehicle,Kozhikode
LN002999,CU000458,07/03/2023,158976,12,16.99,14498.61,2 Wheeler,Kozhikode
LN002497,CU003210,2022-10-24,65324,24,17.61,3248.95,Commercial Vehicle,Chennai
LN003272,CU002120,05/02/2023,108035,36,10.98,3535.9,car,Kozhikode
LN002809,CU003981,06/11/2024,70000,24,18.36,3506.88,Car,Kochi
LN003810,CU003254,06-06-2024,41682,24,11.81,1958.42,Commercial Vehicle,Bangalore
LN002585,CU002450,24-02-2024,113846,24,11.65,5340.54,Tractor,Ahmedabad
LN001471,CU004306,05/28/2023,345631,12,14.55,31122.73,Car ,Kochi
LN000019,CU003801,08/21/2023,45036,36,10.63,1466.54,Two-Wheeler,Coimbatore
LN002325,CU001871,01/16/2023,135665,48,12.6,3612.68,Car ,Coimbatore
LN000499,CU002311,08 May 2024,167159,24,16.57,8230.22,car,Kozhikode
LN002090,CU001061,09/29/2021,221644,36,17.6,7968.56,CAR,  Delhi NCR 
LN002072,CU000844,16/02/2021,121799,48,16.26,3468.06,TWO WHEELER,Hyderabad
LN003894,CU002625,08/09/2022,231340,12,10.81,20425.72,Car ,Hyderabad
LN004345,CU000260,16-01-2022,121726,60,10.32,2605.53,Two Wheeler,Ahmedabad
LN003592,CU000959,18-03-2024,96121,24,14.83,4652.83,CV,Thrissur
LN002860,CU004303,11-07-2023,270491,36,17.1,9657.21,CV,Kochi
LN002192,CU004260,2022-06-05,228666,60,15.96,5555.85,Car,Hyderabad
LN003592,CU000959,18-03-2024,96121,24,14.83,4652.83,CV,Thrissur
LN001558,CU001577,2024-02-09,84856,24,12.55,4016.3,Two-Wheeler,Kozhikode
LN001129,CU002475,12/25/2023,252153,36,,8441.48,N/A,Pune
LN001291,CU003189,05/19/2023,73415,36,10.44,2384.09,Two-Wheeler,Delhi NCR
LN002058,CU000085,11/07/2023,116005,36,9.89,3737.17,TWO WHEELER,Ahmedabad
LN003157,CU001944,14 Oct 2023,"₹134,300",36,17.8,4841.8,car,Kolkata
LN003868,CU003050,2021-02-16,49353,36,16.27,1741.69,car,Bangalore
LN004239,CU000942,01/15/2023,76522,60,17.48,1921.57,TWO WHEELER,Kochi
LN003145,CU003926,03/28/2024,373564,36,,13552.13,two wheeler,Kolkata
LN004539,CU003104,04/09/2024,104432,24,15.81,5103.84,Two-Wheeler,Kochi
LN001994,CU000556,2022-07-20,134257,12,16.31,12200.96,two wheeler,Kozhikode
LN001388,CU001053,18 Aug 2022,75502,24,16.16,3702.59,tractor,Kochi
LN001608,CU004271,02/20/2022,108733,60,15.63,2622.85,Two-Wheeler,Coimbatore
LN000500,CU001701,20 Oct 2021,133330,60,17.91,3379.18,Car ,Hyderabad
LN000339,CU002282,30-08-2022,92372,36,18.47,3361.29,Tractor,Ahmedabad
LN000069,CU000275,03 May 2021,130219,36,9.56,4174.95,Car,Chennai
LN004609,CU001147,11 Aug 2021,"₹145,691",36,17.38,5221.88,2 Wheeler,Hyderabad
LN001403,CU004312,2024-05-03,202881,36,13.16,6851.51,Commercial  Vehicle,Kolkata
LN002019,CU002541,15-10-2023,134615,36,13.58,4573.41,Commercial  Vehicle,Ahmedabad
LN002555,CU004159,2023-10-08,89676,36,10.77,2926.12,N/A,Chennai
LN004191,CU001141,28-11-2021,135670,24,18.06,6777.14,Tractor,Delhi NCR
LN003268,CU001235,22 Nov 2021,88998,24,17.82,4435.41,Two-Wheeler,Kozhikode
LN000893,CU000215,26 Apr 2023,147072,24,16.97,7269.45,2 Wheeler,Thrissur
LN002651,CU000502,06/06/2023,"₹251,382",36,16.53,8903.76,TWO WHEELER,Ahmedabad
LN002928,CU000995,03/07/2023,79302,48,16.71,2276.38,car,Chennai
LN003815,CU000271,08/04/2023,159489,48,14.18,4372.69,two wheeler,Mumbai
LN001248,CU001677,03/12/2022,82555,12,15.12,7455.95,TWO WHEELER,Hyderabad
LN000501,CU003576,31 Aug 2022,201619,24,,9576.81,two wheeler,Bangalore
LN002780,CU004311,03/27/2022,95242,60,15.97,2314.58,car,Coimbatore
LN004120,CU002842,09/19/2021,73276,36,18.26,2658.67,2 Wheeler,Hyderabad
LN001083,CU004589,05/22/2021,101272,36,18.29,3675.98,TWO WHEELER,Mumbai
LN000187,CU000649,28 Dec 2023,121858,24,16.41,5990.45,car,Ahmedabad
LN002213,CU001258,24/10/2023,116550,60,10.89,2527.69,Car,Pune
LN004465,CU001383,2023-07-12,143294,36,12.59,4799.89,commercial vehicle,Hyderabad
LN003940,CU000356,26/05/2024,165800,12,15.44,14999.27,Commercial  Vehicle,Hyderabad
LN000046,CU000100,07 Jan 2021,"₹209,960",24,17.77,10458.75,Two Wheeler,Kolkata
LN002234,CU000822,05/30/2023,"₹220,310",12,14.76,19859.87,Car,Mumbai
LN000605,CU000031,23/10/2023,113088,12,15.18,10216.74,Car ,Delhi NCR
LN004454,CU000316,04 Feb 2021,116419,12,16.71,10601.95,2 Wheeler,Ahmedabad
LN003190,CU002786,24/09/2021,127712,24,12.9,6065.66,Two-Wheeler,Delhi NCR
LN000185,CU002908,01-04-2022,113642,36,16.17,4004.86,Commercial Vehicle,Kozhikode
LN003104,CU002660,17/10/2022,96236,36,15.14,3342.65,Two-Wheeler,Delhi NCR
