Customer_ID,Age,Gender,Employment_Type,Monthly_Income,CIBIL_Score,State
CU001478,36,f,Salaried ,12000,717,TELANGANA
CU000686,21,M,SALARIED,53645,722,UP
CU000091,33,MALE,salaried,"₹57,456",690,Maharastra
CU001236,53,Male,self employed,41477,687,New Delhi
CU003754,37,Male,salaried,48987,603,karnataka
CU002929,48,MALE,SALARIED,63178,642,MH
CU000978,45,male,salaried,21109,705,Andhra Pradesh 
CU001988,21,m,Salaried,"₹34,680",717,karnataka
CU001017,45,M,salaried,88098,702,Maharastra
CU003944,32,FEMALE,selfemployed,41230,642,uttar pradesh
CU003388,44,Male,N/A,"₹45,138",596,west bengal
CU002886,39,F,SALARIED,71203,757,WB
CU001824,41,N/A,Salaried ,47468,548,telangana
CU000325,40,MALE,Salaried,"₹63,651",542,Tamilnadu
CU003883,28,Male,self employed,"₹21,576",846,TN
CU004046,45,FEMALE,Salaried ,50725,842,telangana
CU002930,37,N/A,Salaried,51947,716,uttar pradesh
CU002269,48,Male,Self-Employed,52950,594, Kerala
CU003843,52,f,SELF-EMPLOYED,35819,555,WestBengal
CU003469,48,M,Salaried ,44663,737,delhi
CU001460,39,Male,SALARIED,12000,617,telangana
CU003466,25,m,salaried,34714,760,Gujarat
CU004397,55,m,Salaried,32752,663,uttar pradesh
CU000158,39,m,salaried,"₹51,156",526, Kerala
CU004178,21,male,Salaried ,56527,469,Uttar Pradesh 
CU000220,32,male,self employed,71347,697,Telangana
CU003471,29,MALE,Self Employed,24121,777,TamilNadu
CU001653,27,Female,Salaried ,61359,unknown,
CU003024,53,m,Self Employed,58330,740,Andhra Pradesh 
CU000223,37,Male,self employed,87845,683,tamil nadu
CU003640,32,F,Salaried ,53330,697,Keral
CU000326,50,female,Salaried,"₹33,962",900,TN
CU001527,31,male,Self Employed,39042,679,west bengal
CU001123,31,female,SALARIED,"₹31,819",773,New Delhi
CU003504,35,Female,SALARIED,26830,561,Uttar Pradesh
CU001039,23,FEMALE,Salaried ,70618,565,Andhra Pradesh
CU001009,49,MALE,SALARIED,12000,639,AP
CU004180,38,MALE,self employed,54464,779,Tamil Nadu
CU002210,31,F,SELF-EMPLOYED,15136,664,Maharastra
CU003000,37,MALE,SALARIED,36580,688,tamil nadu
CU002556,43,male,salaried,63727,662,andhra pradesh
CU000099,24,m,Salaried ,58393,712,delhi
CU001649,49,male,Salaried,33325,622,Karnataka
CU000910,41,male,self employed,81268,649, Kerala
CU001382,0,FEMALE,Salaried,35168,552,maharashtra
CU000367,50,Male,Salaried,"₹44,542",755,Kerala 
CU001795,30,M,SALARIED,18007,900,Karnataka
CU002313,33,female,Salaried ,53958,787,TELANGANA
CU003056,37,m,selfemployed,36673,668,delhi
CU003787,51,F,SELF-EMPLOYED,51038,634,kerala
CU002079,44,M,SALARIED,59920,712,New Delhi
CU002319,57,male,Salaried ,51703,660,tamil nadu
CU003284,35,Male,SALARIED,36602,493,Tamilnadu
CU003144,29,m,salaried,64412,565,Uttar Pradesh 
CU001743,34,female,Salaried,65618,999,Andhra Pradesh
CU003874,39,Male,self employed,69398,744,Uttar Pradesh
CU004210,51,female,Salaried,101792,712,West Bengal
CU004473,26,m,Self-Employed,12000,628,Uttar Pradesh
CU001735,38,female,Salaried,51418,591,delhi
CU002028,33,male,N/A,16089,712,Gujrat
CU004515,26,Female,salaried,27653,504,Kerala 
CU004576,25,MALE,Self Employed,49460,686,Telangana
CU000637,30,m,Salaried ,59900,688,Delhi
CU002241,39,N/A,Salaried ,39574,777,New Delhi
CU003232,30,female,SELF-EMPLOYED,15190,unknown,Tamilnadu
CU002612,29,MALE,Salaried,49069,553,andhra pradesh
CU001547,33,Male,salaried,78542,740,Andhra Pradesh 
CU004427,38,M,Salaried ,49085,618,AP
CU001021,42,Male,Self Employed,23897,742,maharashtra
CU002770,38,female,Salaried,73465,667,andhra pradesh
CU001536,28,Male,Salaried ,60327,642,Tamilnadu
CU000251,28,M,SALARIED,"₹12,000",827,UP
CU003946,59,m,Salaried,63132,705,Kerala
CU001265,56,M,Salaried ,-,742,KARNATAKA
CU000045,39,M,Salaried ,"₹52,706",685,andhra pradesh
CU002728,28,Female,salaried,44899,unknown,West Bengal
CU000958,46,male,Self-Employed,61793,557,Karnatka
CU000360,33,MALE,Self Employed,25897,718,
CU000495,21,Female,self employed,48978,unknown,andhra pradesh
CU003773,21,Female,selfemployed,42209,615,WestBengal
CU003254,56,MALE,SALARIED,42224,unknown,uttar pradesh
CU002454,50,male,Self Employed,30630,750,Maharastra
CU001228,55,female,Salaried ,65772,unknown,maharashtra
CU000994,46,M,selfemployed,43412,652,TN
CU002182,38,FEMALE,Salaried,49909,657,telangana
CU001144,50,F,Salaried ,"₹42,960",604,AP
CU003060,28,M,Self-Employed,"₹69,492",645,andhra pradesh
CU001614,44,male,Salaried ,12000,786,DELHI
CU000137,42,MALE,Salaried ,49477,849,KARNATAKA
CU001386,36,male,Salaried,"₹42,126",665,WB
CU002425,32,N/A,salaried,41341,575,Telangana
CU004094,27,male,Salaried,22262,747,TELANGANA
CU000134,51,male,salaried,"₹29,524",567,TN
CU002707,40,Male,Self-Employed,57078,631,telangana
CU001226,47,FEMALE,self employed,"₹19,580",645,Andhra Pradesh
CU003714,39,f,Salaried ,12000,583,TN
CU002000,33,f,self employed,"₹78,283",637,Kerala
CU003898,27,female,Salaried,62061,781,Karnatka
CU002033,41,Female,Salaried ,-,734,gujarat
CU002736,30,Male,Salaried ,38526,656,andhra pradesh
CU002400,30,MALE,Salaried ,56092,533,Uttar Pradesh 
CU004207,30,m,SALARIED,50983,663,uttar pradesh
CU002746,54,m,salaried,73396,704,West Bengal
CU002645,36,Male,selfemployed,60719,856,Uttar Pradesh 
CU001826,36,M,selfemployed,28252,unknown,Karnataka
CU002917,40,f,Salaried,46322,641,Kerala
CU001929,40,M,SALARIED,"₹28,050",775,Karnatka
CU000773,44,Male,Salaried ,74330,632,UP
CU004050,24,m,SALARIED,"₹62,434",697,WestBengal
CU000191,24,F,Salaried,30381,633,Maharashtra
CU002342,26,m,Salaried,"₹42,099",669,DELHI
CU001126,32,F,Salaried,27614,679,DELHI
CU001718,33,M,Salaried,52776,574,DELHI
CU001103,41,m,selfemployed,39573,570,karnataka
CU003677,31,MALE,Self Employed,75575,507,WB
CU003958,35,f,selfemployed,28921,751,GJ
CU002992,46,M,salaried,69187,620,Gujarat
CU003592,45,N/A,salaried,52073,744, Kerala
CU002018,41,M,SALARIED,35745,652,Kerala 
CU000847,41,male,Salaried,48510,674,New Delhi
CU004349,36,f,SELF-EMPLOYED,12000,765,Telangana
CU000448,33,MALE,Salaried ,28551,780,TELANGANA
CU002052,38,FEMALE,self employed,25441,624,karnataka
CU002107,47,f,Salaried,"₹29,487",510,KARNATAKA
CU003842,62,m,N/A,37019,716,WB
CU003310,33,m,Salaried,42168,839,GJ
CU001297,44,Male,SELF-EMPLOYED,23019,737,Kerala 
CU001686,43,m,SELF-EMPLOYED,73380,706,uttar pradesh
CU003700,39,F,SALARIED,67284,740,Maharashtra
CU004368,40,MALE,Salaried ,37516,627,uttar pradesh
CU002814,30,F,Salaried ,"₹44,154",663,andhra pradesh
CU002927,39,N/A,SELF-EMPLOYED,51592,597,gujarat
CU001062,24,Male,SALARIED,48818,676,maharashtra
CU000942,49,MALE,Self-Employed,44602,670,Uttar Pradesh 
CU000704,50,M,selfemployed,36641,497,West Bengal
CU003018,54,MALE,self employed,42025,723,KARNATAKA
CU002326,38,FEMALE,SALARIED,13455,603,New Delhi
CU000103,32,M,self employed,21042,617,Uttar Pradesh
CU001454,53,FEMALE,Salaried ,"₹61,663",623,New Delhi
CU002143,40,M,SALARIED,50019,605,uttar pradesh
CU003415,32,Male,Self-Employed,60573,598,Gujarat
CU004407,47,Male,N/A,80484,708,delhi
CU002342,26,m,Salaried,"₹42,099",669,DELHI
CU003006,39,MALE,N/A,"₹38,637",675,Tamilnadu
CU000487,45,f,Salaried,41375,621,Kerala
CU004380,31,MALE,Salaried,-,875,kerala
CU003485,47,FEMALE,N/A,31624,552,gujarat
CU002295,21,MALE,Salaried,82370,686,Karnatka
CU000609,33,N/A,selfemployed,48628,642,gujarat
CU003932,42,M,Salaried ,60945,541,telangana
CU001418,28,M,self employed,24478,unknown,Tamilnadu
CU000914,33,F,selfemployed,66946,539,Andhra Pradesh
CU004476,21,Female,selfemployed,-,708,GJ
CU003151,39,M,Self-Employed,67641,664,Gujrat
CU001124,33,M,SELF-EMPLOYED,42514,660,KERALA
CU002370,48,male,salaried,"₹71,316",738,GJ
CU001766,21,Male,salaried,27222,665,tamil nadu
CU001876,40,f,Salaried,57938,618,Kerala
CU000083,38,female,salaried,29539,810,Gujarat
CU004477,42,M,salaried,50260,726,Uttar Pradesh
CU003078,33,female,SALARIED,40280,635,KERALA
CU002405,32,FEMALE,Salaried,22339,679,Delhi
CU003729,32,Male,salaried,20922,736,WestBengal
CU002831,49,male,Self-Employed,-,727,WB
CU000988,49,male,Salaried,43937,630,karnataka
CU002660,39,N/A,Salaried,"₹51,617",831,gujarat
CU004305,39,N/A,SALARIED,"₹30,755",528,andhra pradesh
CU001254,25,Male,Salaried,47717,675,MH
CU003143,41,M,N/A,"₹33,713",639,TamilNadu
CU001118,150,Male,Salaried ,"₹17,388",640,telangana
CU003943,33,Male,Salaried ,-,828,karnataka
CU000902,41,m,SELF-EMPLOYED,57377,827,Kerala
CU002516,23,m,selfemployed,70061,671,Delhi
CU002636,37,M,Salaried,60807,726,Kerala
CU004482,27,MALE,self employed,59709,682,UP
CU002626,27,m,SELF-EMPLOYED,43039,752,Kerala 
CU002974,37,m,Salaried,34256,546,TamilNadu
CU000881,29,M,Self Employed,64134,677,New Delhi
CU002383,26,Male,SELF-EMPLOYED,"₹24,044",762,uttar pradesh
CU001428,46,m,Salaried,34667,587,Andhra Pradesh 
CU001931,35,MALE,self employed,20511,485,Andhra Pradesh
CU000014,34,f,selfemployed,35416,663,Tamil Nadu
CU003499,38,male,selfemployed,94506,606,Karnataka
CU000928,27,female,SALARIED,"₹28,278",808,Gujarat
CU003495,41,FEMALE,N/A,81369,636,WestBengal
CU003211,46,M,Salaried,64805,649,gujarat
CU000780,150,M,Salaried ,46425,563,UP
CU000600,35,MALE,Salaried,35683,666,WB
CU000058,30,m,Salaried,53876,749,maharashtra
CU000441,38,Female,selfemployed,-,535,New Delhi
CU004439,30,m,Self Employed,34480,888,KARNATAKA
CU002892,41,F,Self-Employed,-5000,unknown,West Bengal
CU001163,39,MALE,Salaried ,44816,722,Andhra Pradesh
CU003105,43,m,Self Employed,59516,769,delhi
CU002786,44,f,salaried,40131,690,New Delhi
CU003145,39,m,SALARIED,-,641,Telangana
CU002216,27,Female,selfemployed,49671,870,AP
CU001035,24,FEMALE,SELF-EMPLOYED,59029,680,Tamil Nadu
CU003723,46,f,self employed,45985,634,Telangana
CU002816,43,MALE,SALARIED,43713,unknown,WestBengal
CU002557,30,Female,Self Employed,42720,649,MH
CU004340,29,MALE,SALARIED,62797,705,gujarat
CU004495,37,Male,N/A,37263,605,KARNATAKA
CU000041,35,Male,self employed,99403,583,Gujarat
CU001411,31,M,Salaried ,47483,unknown,gujarat
CU004326,49,MALE,salaried,64174,693,Gujrat
CU000300,55,MALE,Salaried,74423,661,west bengal
CU002026,37,m,Salaried,39304,590,WB
CU001459,34,m,Self Employed,"₹50,361",681,andhra pradesh
CU003257,37,Male,Self Employed,83834,698,Maharastra
CU000344,43,FEMALE,Salaried,"₹13,749",632,uttar pradesh
CU002355,33,female,SELF-EMPLOYED,38218,999,Karnatka
CU004514,39,m,Salaried,39200,853,delhi
CU003197,42,Female,self employed,48786,653,Andhra Pradesh
CU004255,57,FEMALE,selfemployed,41734,638,KERALA
CU003317,42,m,self employed,43333,unknown,Kerala 
CU004047,37,FEMALE,Self-Employed,71860,758,telangana
CU000201,48,male,SALARIED,24469,787,TamilNadu
CU001335,40,F,Salaried ,30638,627,telangana
CU001760,32,F,salaried,23991,756,WestBengal
CU002671,47,M,Salaried,19056,528,TamilNadu
CU003795,42,Male,Salaried ,40665,480,Telangana
CU002198,32,Male,Self-Employed,12000,619,Uttar Pradesh 
CU000784,48,FEMALE,Salaried,51722,659,Maharastra
CU004211,46,N/A,Salaried ,"₹58,870",unknown,karnataka
CU002834,23,F,salaried,"₹40,154",626,Gujrat
CU003088,33,MALE,Self Employed,83803,746,Gujrat
CU001005,35,MALE,selfemployed,"₹63,749",581,Andhra Pradesh 
CU002360,32,male,SALARIED,28413,733,uttar pradesh
CU000018,35,male,salaried,"₹40,606",712,West Bengal
CU000162,47,M,selfemployed,12000,564,Maharashtra
CU001892,47,m,Salaried ,42923,573,tamil nadu
CU001508,34,Male,salaried,12000,unknown,Tamilnadu
CU004412,30,M,self employed,32073,583,Telangana
CU002751,21,female,SALARIED,51201,699,Delhi
CU000197,38,m,salaried,70569,697,Maharashtra
CU002939,45,m,Salaried,12000,544,delhi
CU002039,32,Male,Salaried ,51620,494,Andhra Pradesh 
CU003307,25,M,SALARIED,59696,649,Maharashtra
CU003586,21,male,SALARIED,53386,608,West Bengal
CU003576,29,male,SALARIED,61585,693,uttar pradesh
CU002662,43,f,Salaried,70966,582,Telangana
CU003625,38,F,SALARIED,56011,570,WB
CU001476,30,f,salaried,12000,465,gujarat
CU003058,54,Male,SALARIED,59795,813,
CU003168,43,male,SELF-EMPLOYED,38631,681,Andhra Pradesh
CU003936,39,N/A,Salaried ,68824,776,Keral
CU003203,33,Male,SELF-EMPLOYED,32886,705,KARNATAKA
CU002299,36,Female,SALARIED,72272,683,maharashtra
CU000759,34,M,Salaried ,"₹12,000",589,GJ
CU003769,26,MALE,Self-Employed,29317,543,maharashtra
CU002690,24,F,salaried,54784,722,Maharashtra
CU004269,47,m,Salaried,65595,617,Gujrat
CU002025,40,MALE,Self-Employed,65647,777,Gujarat
CU004146,46,m,Self Employed,49771,640,delhi
CU001439,52,m,salaried,"₹39,799",660,Delhi
CU002001,33,MALE,salaried,39344,774,West Bengal
CU000332,44,f,selfemployed,24516,unknown,Gujarat
CU003967,21,MALE,salaried,53867,742,WB
CU002965,22,m,SALARIED,69645,695,WB
CU004573,41,m,Salaried,60721,812,tamil nadu
CU000095,44,Male,SALARIED,-,775,Andhra Pradesh 
CU003321,41,male,salaried,78384,699,TN
CU003338,43,FEMALE,Salaried,35951,610,KARNATAKA
CU000331,30,M,Salaried ,12000,816,KARNATAKA
CU000286,46,m,Self-Employed,45207,561,Uttar Pradesh 
CU003594,48,M,Salaried ,48077,617,West Bengal
CU003298,31,male,salaried,31836,868,Uttar Pradesh
CU004489,46,Male,SALARIED,45528,793,TELANGANA
CU000033,40,MALE,SALARIED,"₹71,142",unknown,karnataka
CU000189,31,Female,Self Employed,"₹37,245",705,TN
CU001433,44,female,Salaried,73040,662,maharashtra
CU000567,50,m,self employed,-,511,Gujrat
CU002317,33,male,selfemployed,44440,776,Tamilnadu
CU004053,39,Male,SALARIED,42999,714,Gujarat
CU001248,31,M,Salaried ,-,706,WB
CU002545,21,m,SALARIED,28996,580,West Bengal
CU001751,31,MALE,salaried,"₹30,865",582,WestBengal
CU003533,31,MALE,selfemployed,29410,548,Tamil Nadu
CU002705,35,male,Salaried ,58668,757,WB
CU003235,43,MALE,N/A,-,703,TN
CU002162,30,FEMALE,selfemployed,51241,757,Keral
CU003665,37,Male,salaried,0,624,New Delhi
CU002805,45,male,SALARIED,49460,680,telangana
CU003172,22,M,Self Employed,56321,636,KARNATAKA
CU004044,39,male,N/A,12000,605,Delhi
CU000553,33,Male,Salaried,39098,767,andhra pradesh
CU000575,39,male,Salaried ,63826,842,karnataka
CU001679,41,F,N/A,18337,657,KARNATAKA
CU002722,51,M,Salaried ,55679,519,Kerala
CU004289,35,Male,SALARIED,34123,668,Kerala
CU004039,47,MALE,Self Employed,56367,624,TELANGANA
CU001961,36,f,SALARIED,"₹58,317",586,Karnataka
CU001561,49,male,Salaried,-,704,UP
CU001992,37,m,Salaried ,50452,710,karnataka
CU003710,42,Male,SALARIED,37724,610,maharashtra
CU003281,33,N/A,Salaried,18741,697,tamil nadu
CU001081,40,Female,selfemployed,70062,709,telangana
CU003399,41,F,Self Employed,58188,687,Andhra Pradesh
CU002903,44,M,SELF-EMPLOYED,22836,unknown,Uttar Pradesh
CU002419,29,MALE,salaried,64322,669,DELHI
CU003703,41,M,N/A,-,641,KARNATAKA
CU000100,28,MALE,Salaried,43746,765,Karnataka
CU002904,42,M,salaried,30115,605,Uttar Pradesh 
CU003390,32,FEMALE,SALARIED,72167,775,Tamil Nadu
CU003380,33,m,selfemployed,14107,900,Telangana
CU000855,47,m,self employed,43811,648,kerala
CU003872,37,Male,SELF-EMPLOYED,59142,615,WestBengal
CU002873,28,FEMALE,SALARIED,67956,738,TN
CU001773,23,male,self employed,35698,736,telangana
CU002702,23,male,Salaried,69571,878,GJ
CU003245,39,MALE,SELF-EMPLOYED,64929,733,Maharastra
CU004426,49,Male,Self-Employed,"₹60,984",712,karnataka
CU002246,21,male,Salaried,50040,733,maharashtra
CU002275,45,f,N/A,23981,649,karnataka
CU003156,36,M,Self-Employed,15504,665,karnataka
CU000646,55,male,Self Employed,67712,580,Keral
CU002488,32,F,Salaried,-,734,karnataka
CU000809,23,male,Salaried,18683,771, Kerala
CU002837,21,Male,Salaried ,"₹26,602",606,AP
CU000231,43,Male,Salaried ,37587,783, Kerala
CU004582,51,Female,SELF-EMPLOYED,41861,692,maharashtra
CU003695,50,Female,Self Employed,60970,717,Tamilnadu
CU003859,45,MALE,salaried,37642,745,Delhi
CU000427,40,M,Self-Employed,"₹38,136",713,GJ
CU001519,64,FEMALE,salaried,46943,780,maharashtra
CU003739,45,Male,Salaried,49994,724,Tamilnadu
CU003153,42,m,SELF-EMPLOYED,64756,720,Gujarat
CU002638,34,male,selfemployed,"₹71,902",625,UP
CU002388,36,M,SALARIED,57704,587,Andhra Pradesh
CU001273,21,M,Salaried ,37779,779,Gujrat
CU003937,46,Male,self employed,"₹70,834",unknown,Uttar Pradesh 
CU004150,33,FEMALE,Salaried ,50228,642,UP
CU002428,33,male,salaried,"₹24,229",780,telangana
CU001402,52,F,Salaried ,54828,659,Tamil Nadu
CU002819,29,MALE,Salaried ,23300,unknown,TN
CU003409,30,F,salaried,-,900,delhi
CU000408,35,f,self employed,"₹42,313",752,GJ
CU000135,21,Male,Self Employed,74920,705,Delhi
CU002458,24,M,SALARIED,59713,763,WestBengal
CU001938,44,MALE,SALARIED,"₹40,539",705,
CU000593,32,M,SELF-EMPLOYED,"₹47,470",584, Kerala
CU004165,39,FEMALE,Salaried ,49603,877,Gujarat
CU002673,25,MALE,SELF-EMPLOYED,59260,504,TamilNadu
CU003645,38,N/A,salaried,"₹41,218",702,west bengal
CU002237,39,F,Salaried,52831,711,Maharashtra
CU003093,52,m,Salaried,12000,697,Karnataka
CU001243,28,M,Salaried ,-5000,unknown,KERALA
CU004589,47,F,SALARIED,56154,670,WB
CU003492,36,male,Salaried,54289,647,Tamil Nadu
CU000545,25,m,salaried,61264,751,Gujrat
CU000882,31,f,salaried,"₹12,682",706,West Bengal
CU003393,38,male,Salaried ,"₹29,244",667,Karnataka
CU004400,45,female,salaried,"₹12,000",608,tamil nadu
CU003751,38,m,Self-Employed,63209,616,Andhra Pradesh 
CU002402,53,MALE,SALARIED,-,702,New Delhi
CU001247,36,male,Salaried ,57255,unknown,KARNATAKA
CU000580,29,Male,SELF-EMPLOYED,54264,556,Gujrat
CU000029,43,male,SELF-EMPLOYED,88809,590,karnataka
CU000561,38,M,salaried,16028,900,New Delhi
CU001730,47,F,Salaried,39592,554,Uttar Pradesh
CU004455,45,MALE,N/A,29246,860,karnataka
CU003621,23,Female,salaried,45808,737,west bengal
CU002853,48,m,selfemployed,"₹55,694",634,Maharastra
CU001495,38,M,N/A,"₹54,524",579,TELANGANA
CU003781,46,M,SALARIED,51063,649,Tamil Nadu
CU004502,38,male,SELF-EMPLOYED,58903,681,Uttar Pradesh
CU003148,40,Male,salaried,49926,616,maharashtra
CU002740,23,M,SELF-EMPLOYED,-,679,TELANGANA
CU003550,29,Male,Salaried ,54245,774,Telangana
CU000701,45,male,SALARIED,80635,613,karnataka
CU003016,51,m,selfemployed,49592,561,telangana
CU001808,45,FEMALE,SALARIED,"₹16,516",unknown,telangana
CU002242,42,Male,self employed,82752,593,karnataka
CU002105,27,female,Salaried,12976,587,WB
CU000757,30,Female,self employed,19308,768,UP
CU002499,26,f,selfemployed,41767,638,Uttar Pradesh
CU000124,33,M,Self-Employed,"₹50,795",866,WB
CU001838,42,f,self employed,27285,623,UP
CU001170,28,M,salaried,-,690,Maharashtra
CU002972,45,FEMALE,Salaried ,32343,806,Tamilnadu
CU003215,43,FEMALE,SELF-EMPLOYED,70175,722,TELANGANA
CU002966,45,f,salaried,"₹72,334",708,TELANGANA
CU002999,60,female,Salaried,57124,661,west bengal
CU002230,32,m,Salaried,"₹60,981",680,Delhi
CU001127,39,male,Salaried,103363,704,KERALA
CU002044,37,Female,Salaried ,57738,637,karnataka
CU000330,47,female,SALARIED,22166,662,delhi
CU002976,24,M,SELF-EMPLOYED,45441,496,karnataka
CU003248,-1,M,salaried,29994,732,WestBengal
CU001250,27,m,SALARIED,62134,715,Tamil Nadu
CU001551,21,male,salaried,52075,798,Gujarat
CU001051,5,m,SELF-EMPLOYED,12000,707,Gujrat
CU003826,28,female,Self Employed,34108,724,Kerala 
CU002891,35,M,Self-Employed,40321,unknown,karnataka
CU002843,39,m,selfemployed,69724,847,andhra pradesh
CU000108,28,MALE,SALARIED,29872,551,
CU002099,35,MALE,self employed,39144,708,Telangana
CU000663,42,f,Salaried ,25354,649,west bengal
CU000101,28,MALE,Salaried,"₹55,080",632,maharashtra
CU001621,22,m,SALARIED,57617,688,Telangana
CU000121,21,m,self employed,-,713,TN
CU003924,39,F,Salaried ,"₹12,000",682,Gujrat
CU000554,47,m,Salaried ,30808,566,Andhra Pradesh 
CU002218,43,male,selfemployed,50450,772,UP
CU000365,41,f,salaried,"₹39,091",589,telangana
CU003785,49,f,salaried,62138,810,Maharastra
CU000944,47,M,SELF-EMPLOYED,58627,576,uttar pradesh
CU001538,37,male,Salaried,64355,715,Andhra Pradesh 
CU000109,31,male,selfemployed,23369,831,gujarat
CU000793,36,M,Salaried ,54156,590,Delhi
CU001330,30,male,SALARIED,18268,800,Andhra Pradesh 
CU002389,44,m,Self-Employed,54494,844,tamil nadu
CU003255,37,Male,Salaried,61419,727,West Bengal
CU002074,59,m,salaried,21221,719,Keral
CU003889,56,Female,Salaried ,45648,536,gujarat
CU000796,29,FEMALE,self employed,45143,492,Uttar Pradesh
CU003839,57,male,Salaried,-,635,Uttar Pradesh 
CU001334,29,F,Salaried,22133,999,Andhra Pradesh
CU001622,45,MALE,Salaried,-,636,Uttar Pradesh
