loan_id,customer_id,disbursal_date,loan_amount,tenure_months,interest_rate,emi_amount,vehicle_type,branch,disbursal_date_raw
LN000990,CU000545,2023-04-13,92742,24,16.84,4578.25,"Two wheeler",delhi,13/04/2023
LN003925,CU002340,2022-12-18,56408,36,16.22,1989.27,Car,ahmedabad,2022-12-18
LN001796,CU003961,2022-01-21,143096,36,11.05,4688.17,"Commercial Vehicle",pune,01/21/2022
LN003988,CU000778,2024-04-29,231028,24,10.24,10686.38,Car,bangalore,29/04/2024
LN000055,CU003501,2021-04-13,54960,12,17.82,5034.03,"Two wheeler",mumbai,04/13/2021
LN004476,CU002756,2024-02-13,156440,48,15.25,4373.69,"Two wheeler",bangalore,"13 Feb 2024"
LN000883,CU001660,2023-03-07,50001,36,13.98,1708.43,"Two wheeler",ahmedabad,2023-03-07
LN002476,CU003069,2023-08-18,274854,24,13.11,13081.27,"Two wheeler",kochi,"18 Aug 2023"
LN001092,CU002647,2021-01-19,136547,36,14.08,4672.16,Car,delhi,2021-01-19
LN003319,CU001853,2022-04-06,186511,48,10.58,4782.52,"Commercial Vehicle",hyderabad,"06 Apr 2022"
LN002224,CU003240,2021-01-06,313036,24,14.58,15115.68,"Two wheeler",ahmedabad,2021-01-06
LN000885,CU002776,2023-08-31,112561,36,10.09,3636.78,Car,thrissur,08/31/2023
LN004719,CU000919,2024-04-29,148967,24,17.17,7377.44,Car,chennai,2024-04-29
LN002468,CU002113,2023-02-18,177078,12,14.71,15958.54,"Two wheeler",delhi,"18 Feb 2023"
LN002240,CU002616,2024-04-07,160410,48,12.58,4270.04,"Two wheeler",kochi,07/04/2024
LN000378,CU002636,2022-06-12,54186,36,13.38,1835.67,"Two wheeler",mumbai,2022-06-12
LN003645,CU001159,2023-05-02,88099,48,10.37,2250.11,"Commercial Vehicle",delhi,02/05/2023
LN003176,CU003100,2023-09-04,183026,36,17.9,6607.65,"Two wheeler",delhi,"04 Sep 2023"
LN000744,CU002365,2022-05-10,93003,36,10.25,3011.87,"Two wheeler",bangalore,10/05/2022
LN000956,CU002697,2022-09-12,200755,60,11.35,4400.02,"Two wheeler",delhi,"12 Sep 2022"
LN004550,CU003982,2024-02-17,194619,24,12.24,9183.22,"Two wheeler",mumbai,"17 Feb 2024"
LN003546,CU003231,2022-04-10,286820,24,17.74,14283.22,"Two wheeler",thrissur,10/04/2022
LN000979,CU001537,2024-05-24,218520,24,10.26,10109.83,Tractor,thrissur,2024-05-24
LN004943,CU000789,2024-06-04,157031,48,15.69,4425.41,"Two wheeler",hyderabad,04/06/2024
LN000983,CU002346,2021-12-13,114398,36,12.29,3815.52,Car,bangalore,2021-12-13
LN003367,CU004570,2023-06-14,70943,36,13.44,2405.41,Car,bangalore,"14 Jun 2023"
LN003278,CU003605,2021-11-15,93879,36,15.6,3282,Car,kozhikode,2021-11-15
LN004644,CU003624,2024-04-06,321093,36,12.41,10727.87,"Commercial Vehicle",mumbai,"06 Apr 2024"
LN004202,CU003285,2023-03-25,133960,24,13.95,6428.64,"Commercial Vehicle",kochi,2023-03-25
LN004177,CU000963,2021-11-25,178999,36,17.03,6384.48,Car,chennai,2021-11-25
LN001173,CU004417,2022-12-30,95190,12,15.35,8607.42,Car,kolkata,30/12/2022
LN002392,CU000435,2021-09-10,113512,36,18.29,4120.26,Car,delhi,2021-09-10
LN002625,CU000105,2021-01-24,208645,48,12.72,5568.47,"Two wheeler",coimbatore,2021-01-24
LN004199,CU001619,2021-01-23,112245,36,14.16,3845,"Commercial Vehicle",mumbai,"23 Jan 2021"
LN001268,CU000293,2022-08-09,327001,36,16.24,11535.17,Car,mumbai,2022-08-09
LN003466,CU003189,2021-10-06,117791,24,14.48,5682.23,Car,hyderabad,"06 Oct 2021"
LN003210,CU002246,2023-08-21,140927,36,13.6,4789.22,"Two wheeler",hyderabad,21/08/2023
LN003843,CU004403,2023-11-20,138231,60,12.43,3104.99,"Two wheeler",bangalore,2023-11-20
LN004251,CU000152,2022-10-01,271283,60,17.24,6777.14,Tractor,coimbatore,2022-10-01
LN000678,CU003623,2022-04-29,289545,12,9.78,25425.99,Car,kozhikode,2022-04-29
LN001243,CU000925,2021-05-18,98446,48,16.99,2840.15,Car,chennai,2021-05-18
LN001306,CU004172,2021-12-01,132364,48,10.66,3399.2,"Two wheeler",mumbai,2021-12-01
LN004712,CU003160,2023-11-04,180462,48,12.91,4833.29,Car,chennai,"04 Nov 2023"
LN000239,CU000094,2022-11-06,107869,36,13.44,3657.44,Car,kolkata,"06 Nov 2022"
LN002837,CU002145,2021-06-10,182125,48,13.47,4928.55,"Two wheeler",mumbai,2021-06-10
LN000684,CU000767,2023-12-11,112804,24,11.17,5266.46,"Two wheeler",ahmedabad,2023-12-11
LN004208,CU000751,2021-08-19,195835,36,12.8,6579.61,"Two wheeler",delhi,2021-08-19
LN000794,CU001622,2021-01-11,122973,24,13.42,5870.65,Car,pune,11/01/2021
LN004554,CU004267,2022-01-11,188251,24,13.12,8960.41,Car,ahmedabad,11/01/2022
LN002810,CU004562,2023-02-21,63078,36,11.4,2077.06,Car,bangalore,21/02/2023
LN000812,CU000852,2021-01-31,171532,24,12.62,8124.36,Tractor,ahmedabad,31/01/2021
LN002220,CU003165,2022-09-01,60356,60,16.77,1492.55,Car,hyderabad,01/09/2022
LN004051,CU000333,2023-09-25,177810,48,15.79,5020.08,Car,mumbai,"25 Sep 2023"
LN004640,CU003036,2022-07-13,405368,24,16.85,20013.11,"Commercial Vehicle",delhi,07/13/2022
LN000314,CU001940,2022-12-03,143386,36,12.83,4819.51,Tractor,kozhikode,"03 Dec 2022"
LN004347,CU003854,2022-11-16,65927,36,13.06,2223.25,Tractor,hyderabad,2022-11-16
LN001093,CU002311,2022-01-13,146782,12,17.2,13401.15,Car,bangalore,2022-01-13
LN001318,CU003523,2024-04-28,60266,24,16.19,2956.28,"Two wheeler",delhi,2024-04-28
LN001212,CU003431,2022-11-01,276121,24,12.45,13056.08,"Two wheeler",hyderabad,2022-11-01
LN001354,CU002307,2021-10-11,168263,36,14.71,5809.02,Car,coimbatore,2021-10-11
LN003784,CU003870,2021-01-20,193673,48,17.85,5673.98,Car,kozhikode,"20 Jan 2021"
LN004619,CU003262,2021-03-30,161774,36,12.29,5395.65,"Two wheeler",chennai,03/30/2021
LN000522,CU003958,2021-04-29,118168,36,16.07,4158.52,"Commercial Vehicle",pune,2021-04-29
LN003537,CU001967,2023-03-04,126490,12,14.84,11407.23,Car,chennai,"04 Mar 2023"
LN002533,CU000055,2023-08-23,175443,48,11.47,4574.56,"Two wheeler",kochi,"23 Aug 2023"
LN000342,CU003636,2021-11-05,277889,48,17.99,8161.54,"Commercial Vehicle",mumbai,05/11/2021
LN000323,CU000963,2024-12-05,160488,48,12.46,4262.6,"Commercial Vehicle",kozhikode,05/12/2024
LN002329,CU001487,2023-05-01,273298,24,13.13,13009.78,Car,bangalore,"01 May 2023"
LN002127,CU000127,2022-03-15,240463,36,11.66,7947.82,"Two wheeler",delhi,2022-03-15
LN000650,CU002160,2024-02-02,151593,48,14.27,4163.06,"Two wheeler",delhi,02/02/2024
LN004639,CU001882,2022-04-19,131819,48,12.21,3484.91,"Two wheeler",kochi,19/04/2022
LN003401,CU001483,2023-05-18,40000,36,13.63,1359.93,"Two wheeler",ahmedabad,18/05/2023
LN004995,CU003237,2021-01-04,125567,24,18.21,6281.57,"Commercial Vehicle",thrissur,04/01/2021
LN003332,CU002368,2024-03-03,40000,24,17.17,1980.96,Tractor,ahmedabad,03/03/2024
LN001206,CU002405,2024-04-20,240981,36,11.29,7922.54,Car,hyderabad,20/04/2024
LN000122,CU002940,2024-03-04,104957,48,14.95,2918.37,"Two wheeler",kolkata,04/03/2024
LN000623,CU002964,2022-11-28,111117,24,12.24,5243.13,"Two wheeler",kolkata,28/11/2022
LN002593,CU001408,2022-06-13,89760,60,16.46,2204.79,"Commercial Vehicle",mumbai,2022-06-13
LN000219,CU001415,2021-04-11,101469,48,10.62,2603.83,Car,delhi,2021-04-11
LN000804,CU004329,2023-02-05,180738,36,16.52,6400.71,"Two wheeler",delhi,05/02/2023
LN000627,CU001094,2023-01-08,133746,12,16.89,12191.29,Tractor,kozhikode,08/01/2023
LN001035,CU000949,2022-04-13,155746,48,14.92,4328.21,Car,pune,04/13/2022
LN001720,CU001860,2021-06-11,89635,36,17.84,3233.33,Car,pune,2021-06-11
LN000036,CU001609,2023-10-24,126471,12,16.45,11501.77,Car,hyderabad,24/10/2023
LN002086,CU002220,2023-10-14,104724,24,11.86,4922.88,Car,kolkata,2023-10-14
LN001331,CU000950,2021-09-05,267978,36,17.13,9571.49,"Commercial Vehicle",delhi,2021-09-05
LN004156,CU003923,2021-07-18,148461,24,16.67,7316.73,"Two wheeler",thrissur,18/07/2021
LN001957,CU002906,2021-06-14,184931,12,11.84,16417.06,Car,mumbai,14/06/2021
LN004836,CU002751,2022-07-07,123598,24,16.49,6080.72,"Two wheeler",thrissur,07/07/2022
LN000747,CU003150,2022-01-19,160343,24,14.06,7703.08,Car,thrissur,"19 Jan 2022"
LN003729,CU001330,2023-05-16,134562,60,13.73,3112.22,Tractor,mumbai,05/16/2023
LN002926,CU002617,2023-08-06,122445,60,12.23,2737.97,Car,kolkata,2023-08-06
LN003660,CU003529,2023-09-10,293877,12,12.6,26193.17,"Commercial Vehicle",kozhikode,10/09/2023
LN004763,CU001891,2024-03-14,115422,12,9.87,10140.45,"Two wheeler",chennai,"14 Mar 2024"
LN003797,CU003358,2022-12-13,97274,12,10.65,8581.36,"Two wheeler",kochi,13/12/2022
LN003468,CU003861,2021-10-22,344393,24,13.76,16496.28,"Two wheeler",delhi,2021-10-22
LN001800,CU003855,2022-01-29,129176,36,14.33,4435.66,"Commercial Vehicle",hyderabad,29/01/2022
LN000120,CU001945,2022-01-11,106901,24,14.25,5145.26,"Commercial Vehicle",mumbai,11/01/2022
LN002918,CU003926,2023-03-06,76115,60,17.84,1926.2,Car,delhi,"06 Mar 2023"
LN003102,CU000383,2021-08-07,173464,36,18.23,6291.17,Car,thrissur,"07 Aug 2021"
LN004908,CU001917,2024-04-04,249395,36,17.47,8950.06,Car,delhi,2024-04-04
LN004007,CU004432,2021-01-15,125395,24,16.54,6172.13,"Two wheeler",hyderabad,2021-01-15
LN000130,CU002277,2022-05-18,271903,24,17.31,13484.04,"Two wheeler",kochi,2022-05-18
LN002317,CU002539,2021-12-04,119978,48,10.58,3076.48,Car,ahmedabad,2021-12-04
LN002742,CU003781,2021-06-12,213562,24,17.38,10598.02,Car,mumbai,12/06/2021
LN001593,CU002528,2023-10-26,106264,36,13.96,3629.79,"Two wheeler",pune,10/26/2023
LN000376,CU001090,2023-08-08,94346,36,18.43,3431.22,Car,pune,08/08/2023
LN000583,CU003094,2023-10-05,53404,24,15.32,2597.51,Car,mumbai,2023-10-05
LN004176,CU000369,2022-08-03,122909,48,16.46,3512.3,"Commercial Vehicle",bangalore,03/08/2022
LN000320,CU000349,2023-11-02,193446,36,12.6,6480.75,Tractor,kozhikode,"02 Nov 2023"
LN001987,CU000001,2022-07-29,91636,24,10.52,4250.56,"Two wheeler",kozhikode,29/07/2022
LN002551,CU003263,2021-04-24,120260,60,11.78,2661.77,"Two wheeler",ahmedabad,2021-04-24
LN000897,CU004476,2021-08-06,82813,36,18.09,2997.63,"Two wheeler",hyderabad,06/08/2021
LN002353,CU001773,2023-06-30,40000,24,11.27,1869.33,Car,kozhikode,06/30/2023
LN004867,CU004444,2021-10-28,192064,24,12.54,9089.63,"Two wheeler",ahmedabad,2021-10-28
LN001885,CU003608,2021-06-18,217821,24,10.26,10077.49,"Two wheeler",thrissur,2021-06-18
LN001745,CU003545,2021-06-07,106778,36,9.52,3421.41,"Two wheeler",ahmedabad,"07 Jun 2021"
LN000028,CU000709,2023-10-10,46372,48,17.42,1348.16,Car,kolkata,2023-10-10
LN001806,CU002215,2021-07-12,75457,36,10.07,2437.27,Car,kozhikode,2021-07-12
LN002226,CU003937,2022-12-05,120577,24,18.39,6042.44,"Two wheeler",thrissur,05/12/2022
LN003279,CU002106,2022-12-03,45721,24,14.68,2209.91,Tractor,chennai,"03 Dec 2022"
LN003738,CU004583,2022-01-08,141969,36,9.79,4566.96,"Commercial Vehicle",thrissur,08/01/2022
LN002119,CU003121,2022-12-13,97437,36,13.52,3307.5,"Commercial Vehicle",hyderabad,"13 Dec 2022"
LN003968,CU004119,2021-05-24,162187,12,11.09,14341.17,"Two wheeler",coimbatore,2021-05-24
LN003203,CU001991,2023-01-02,97831,36,9.99,3156.27,"Two wheeler",pune,2023-01-02
LN000490,CU003373,2021-05-26,109693,24,16.58,5401.36,"Two wheeler",mumbai,05/26/2021
LN003897,CU003850,2021-04-30,184997,36,13.76,6301.22,Car,delhi,04/30/2021
LN000506,CU004490,2024-04-14,338058,12,9.72,29676.66,"Commercial Vehicle",kozhikode,14/04/2024
LN001081,CU001179,2023-06-29,200779,60,10.19,4284.75,Car,hyderabad,2023-06-29
LN003679,CU004231,2024-05-29,93974,60,17.73,2372.54,Tractor,chennai,05/29/2024
LN004026,CU004137,2024-05-24,46183,48,17.5,1344.59,Tractor,thrissur,05/24/2024
LN002144,CU004332,2023-04-28,260367,36,14.71,8988.78,"Two wheeler",pune,28/04/2023
LN001849,CU001539,2022-07-08,232301,12,16.22,21101.06,"Two wheeler",hyderabad,2022-07-08
LN001502,CU004039,2022-03-03,316255,48,14.48,8718.48,Car,pune,03/03/2022
LN001154,CU000106,2021-08-31,132176,36,18.1,4785.11,"Commercial Vehicle",kolkata,2021-08-31
LN001776,CU002802,2021-08-05,74387,36,11.69,2459.71,"Commercial Vehicle",ahmedabad,"05 Aug 2021"
LN003601,CU001784,2024-01-28,92944,36,14.14,3182.93,"Two wheeler",kolkata,28/01/2024
LN000977,CU004179,2023-01-25,166725,60,13.76,3858.69,Car,ahmedabad,25/01/2023
LN001712,CU002566,2023-12-02,154702,36,12.78,5196.14,"Commercial Vehicle",delhi,02/12/2023
LN000089,CU004163,2023-05-11,366001,48,13.15,9846.16,Car,hyderabad,11/05/2023
LN004761,CU001614,2022-08-18,140896,48,10.43,3602.65,"Two wheeler",kozhikode,18/08/2022
LN002765,CU002320,2024-01-27,160489,48,11,4147.92,Car,ahmedabad,01/27/2024
LN001424,CU004494,2022-03-11,136850,36,17.6,4920.04,Car,coimbatore,2022-03-11
LN000271,CU001556,2022-09-03,54971,60,11.93,1220.86,"Two wheeler",kozhikode,2022-09-03
LN000538,CU003418,2021-06-21,54355,12,14.01,4880.63,Car,hyderabad,"21 Jun 2021"
LN002418,CU000386,2021-07-01,84836,48,14.65,2346.03,Tractor,chennai,"01 Jul 2021"
LN004168,CU004348,2023-12-09,253656,36,15.8,8892.77,"Two wheeler",delhi,"09 Dec 2023"
LN001112,CU004406,2021-10-13,125540,24,11.7,5892.03,"Two wheeler",delhi,"13 Oct 2021"
LN004044,CU000095,2024-04-24,135884,48,11.65,3555.04,Tractor,coimbatore,24/04/2024
LN000587,CU000155,2022-11-21,89175,48,18.1,2624.18,"Two wheeler",kolkata,2022-11-21
LN004186,CU004067,2022-08-06,116044,48,15.38,3251.99,"Two wheeler",kochi,06/08/2022
LN003491,CU001827,2024-03-31,86194,60,11.57,1898.66,Tractor,ahmedabad,2024-03-31
LN001282,CU000902,2023-09-25,127729,36,16.63,4530.4,"Two wheeler",ahmedabad,2023-09-25
LN003941,CU004163,2022-10-16,178688,48,12.1,4714.32,Car,kolkata,10/16/2022
LN001836,CU001430,2022-05-11,206462,36,15.22,7179.34,"Two wheeler",ahmedabad,11/05/2022
LN002117,CU004032,2023-12-24,243953,36,12.26,8133.06,Car,delhi,24/12/2023
LN004392,CU001353,2022-05-19,140620,36,11.88,4662.54,"Commercial Vehicle",pune,19/05/2022
LN003921,CU000191,2024-12-05,78986,48,13.79,2150.1,"Two wheeler",bangalore,05/12/2024
LN002714,CU001774,2024-05-13,234742,36,12.28,7828.22,"Commercial Vehicle",chennai,05/13/2024
LN004479,CU001535,2021-09-09,150971,48,12.26,3994.95,Tractor,hyderabad,09/09/2021
LN001827,CU000319,2022-10-18,229898,36,16.16,8100.7,Car,mumbai,2022-10-18
LN003428,CU003103,2021-03-13,191638,24,18.25,9590.52,"Commercial Vehicle",chennai,13/03/2021
LN004238,CU000107,2023-10-01,83121,12,11.13,7351.41,Car,hyderabad,2023-10-01
LN000525,CU003150,2021-06-07,190868,36,12.41,6376.99,Car,kozhikode,2021-06-07
LN001519,CU001997,2021-11-22,176435,36,11.11,5785.45,Car,coimbatore,2021-11-22
LN001508,CU001628,2022-03-07,160283,48,16.53,4586.09,Car,delhi,07/03/2022
LN001130,CU000063,2022-01-14,103245,36,12.35,3446.5,Tractor,chennai,"14 Jan 2022"
LN001365,CU000568,2023-03-24,88233,48,11.44,2299.33,"Two wheeler",kozhikode,2023-03-24
LN001838,CU003469,2024-05-13,92425,48,10.59,2370.41,"Two wheeler",chennai,05/13/2024
LN003141,CU001862,2021-01-15,210254,12,13.66,18844.48,Tractor,coimbatore,"15 Jan 2021"
LN001916,CU003157,2022-02-06,174461,36,14.61,6014.48,Car,pune,"06 Feb 2022"
LN001862,CU002204,2022-02-23,78950,48,14.68,2184.45,"Two wheeler",pune,2022-02-23
LN001421,CU000031,2022-12-13,135768,36,15.18,4718.42,"Two wheeler",kozhikode,2022-12-13
LN000199,CU000604,2021-09-22,160088,24,11.34,7486.65,"Two wheeler",pune,22/09/2021
LN002188,CU002301,2024-01-14,306324,36,11.95,10167.03,"Commercial Vehicle",kozhikode,"14 Jan 2024"
LN002999,CU000458,2023-03-07,158976,12,16.99,14498.61,"Two wheeler",kozhikode,07/03/2023
LN002497,CU003210,2022-10-24,65324,24,17.61,3248.95,"Commercial Vehicle",chennai,2022-10-24
LN003272,CU002120,2023-02-05,108035,36,10.98,3535.9,Car,kozhikode,05/02/2023
LN002809,CU003981,2024-11-06,70000,24,18.36,3506.88,Car,kochi,06/11/2024
LN003810,CU003254,2024-06-06,41682,24,11.81,1958.42,"Commercial Vehicle",bangalore,2024-06-06
LN002585,CU002450,2024-02-24,113846,24,11.65,5340.54,Tractor,ahmedabad,2024-02-24
LN001471,CU004306,2023-05-28,345631,12,14.55,31122.73,Car,kochi,05/28/2023
LN000019,CU003801,2023-08-21,45036,36,10.63,1466.54,"Two wheeler",coimbatore,08/21/2023
LN002325,CU001871,2023-01-16,135665,48,12.6,3612.68,Car,coimbatore,01/16/2023
LN000499,CU002311,2024-05-08,167159,24,16.57,8230.22,Car,kozhikode,"08 May 2024"
LN002090,CU001061,2021-09-29,221644,36,17.6,7968.56,Car,delhi,09/29/2021
LN002072,CU000844,2021-02-16,121799,48,16.26,3468.06,"Two wheeler",hyderabad,16/02/2021
LN003894,CU002625,2022-09-08,231340,12,10.81,20425.72,Car,hyderabad,08/09/2022
LN004345,CU000260,2022-01-16,121726,60,10.32,2605.53,"Two wheeler",ahmedabad,2022-01-16
LN003592,CU000959,2024-03-18,96121,24,14.83,4652.83,"Commercial Vehicle",thrissur,2024-03-18
LN002860,CU004303,2023-07-11,270491,36,17.1,9657.21,"Commercial Vehicle",kochi,2023-07-11
LN002192,CU004260,2022-06-05,228666,60,15.96,5555.85,Car,hyderabad,2022-06-05
LN003592,CU000959,2024-03-18,96121,24,14.83,4652.83,"Commercial Vehicle",thrissur,2024-03-18
LN001558,CU001577,2024-02-09,84856,24,12.55,4016.3,"Two wheeler",kozhikode,2024-02-09
LN001291,CU003189,2023-05-19,73415,36,10.44,2384.09,"Two wheeler",delhi,05/19/2023
LN002058,CU000085,2023-07-11,116005,36,9.89,3737.17,"Two wheeler",ahmedabad,11/07/2023
LN003157,CU001944,2023-10-14,134300,36,17.8,4841.8,Car,kolkata,"14 Oct 2023"
LN003868,CU003050,2021-02-16,49353,36,16.27,1741.69,Car,bangalore,2021-02-16
LN004239,CU000942,2023-01-15,76522,60,17.48,1921.57,"Two wheeler",kochi,01/15/2023
LN004539,CU003104,2024-09-04,104432,24,15.81,5103.84,"Two wheeler",kochi,04/09/2024
LN001994,CU000556,2022-07-20,134257,12,16.31,12200.96,"Two wheeler",kozhikode,2022-07-20
LN001388,CU001053,2022-08-18,75502,24,16.16,3702.59,Tractor,kochi,"18 Aug 2022"
LN001608,CU004271,2022-02-20,108733,60,15.63,2622.85,"Two wheeler",coimbatore,02/20/2022
LN000500,CU001701,2021-10-20,133330,60,17.91,3379.18,Car,hyderabad,"20 Oct 2021"
LN000339,CU002282,2022-08-30,92372,36,18.47,3361.29,Tractor,ahmedabad,2022-08-30
LN000069,CU000275,2021-05-03,130219,36,9.56,4174.95,Car,chennai,"03 May 2021"
LN004609,CU001147,2021-08-11,145691,36,17.38,5221.88,"Two wheeler",hyderabad,"11 Aug 2021"
LN001403,CU004312,2024-05-03,202881,36,13.16,6851.51,"Commercial Vehicle",kolkata,2024-05-03
