customer_id,age,gender,employment_type,monthly_income,cibil_score,state,age_bucket
CU001099,45,Male,Salaried,92887,876,Kerala,41-50
CU002380,35,Male,Salaried,21680,689,Karnataka,31-40
CU003216,39,Male,"Self Employed",58938,462,Karnataka,31-40
CU004328,37,Male,"Self Employed",36938,687,Karnataka,31-40
CU001079,43,Male,Salaried,40887,837,Maharashtra,41-50
CU002017,31,Male,"Self Employed",12000,641,"Tamil Nadu",31-40
CU002721,52,Female,"Self Employed",24067,711,Gujarat,51-60
CU001458,45,Male,Salaried,31940,630,Kerala,41-50
CU001560,45,Female,Salaried,37290,493,"West Bengal",41-50
CU001160,50,Male,Salaried,31866,656,Delhi,41-50
CU001214,44,Female,Salaried,43728,549,Telangana,41-50
CU004063,35,Male,"Self Employed",59522,633,Delhi,31-40
CU004304,28,Male,Salaried,15357,595,"Andra Pradesh",21-30
CU001345,43,Male,Salaried,40597,547,"Tamil Nadu",41-50
CU004575,50,Male,Salaried,17759,765,Karnataka,41-50
CU000645,42,Female,"Self Employed",75420,594,"Tamil Nadu",41-50
CU004536,34,Male,Salaried,59622,622,Karnataka,31-40
CU002077,30,Male,Salaried,65370,709,"West Bengal",21-30
CU003033,29,Male,Salaried,73336,688,Kerala,21-30
CU001300,21,Male,"Self Employed",69540,537,Telangana,21-30
CU003950,21,Male,Salaried,40526,512,Kerala,21-30
CU002589,36,Male,"Self Employed",38893,687,"West Bengal",31-40
CU000359,31,Female,"Self Employed",65599,649,delhi,31-40
CU002937,44,Female,Salaried,22856,703,Gujarat,41-50
CU000166,39,Female,Salaried,33487,690,"Tamil Nadu",31-40
CU001711,46,Male,Salaried,61205,817,,41-50
CU001604,44,Male,"Self Employed",65760,748,Gujarat,41-50
CU002679,36,Male,Salaried,57135,650,Kerala,31-40
CU002621,38,Male,"Self Employed",34574,737,Telangana,31-40
CU004182,45,Male,Salaried,43172,759,Kerala,41-50
CU001625,31,Male,Salaried,18040,573,Gujarat,31-40
CU000837,28,Male,"Self Employed",37048,592,"West Bengal",21-30
CU001129,32,Female,"Self Employed",41987,611,Kerala,31-40
CU002685,34,Male,"Self Employed",60064,785,Gujarat,31-40
CU001901,40,Female,Salaried,40214,813,Delhi,31-40
CU000772,52,Male,"Self Employed",72529,708,"Tamil Nadu",51-60
CU000995,27,Female,Salaried,52203,583,DELHI,21-30
CU002515,40,Female,Salaried,63274,700,Maharashtra,31-40
CU003740,37,Male,Salaried,69016,564,"Tamil Nadu",31-40
CU001543,24,Female,"Self Employed",68598,752,Gujarat,21-30
CU001427,53,Male,"Self Employed",70106,618,Telangana,51-60
CU001478,36,Female,Salaried,12000,717,Telangana,31-40
CU000686,21,Male,Salaried,53645,722,"Uttar Pradesh",21-30
CU000091,33,Male,Salaried,57456,690,Maharashtra,31-40
CU001236,53,Male,"Self Employed",41477,687,Delhi,51-60
CU003754,37,Male,Salaried,48987,603,Karnataka,31-40
CU002929,48,Male,Salaried,63178,642,Maharashtra,41-50
CU000978,45,Male,Salaried,21109,705,"Andra Pradesh",41-50
CU001988,21,Male,Salaried,34680,717,Karnataka,21-30
CU001017,45,Male,Salaried,88098,702,Maharashtra,41-50
CU003944,32,Female,"Self Employed",41230,642,"Uttar Pradesh",31-40
CU003388,44,Male,"Self Employed",45138,596,"West Bengal",41-50
CU002886,39,Female,Salaried,71203,757,"West Bengal",31-40
CU001824,41,Male,Salaried,47468,548,Telangana,41-50
CU000325,40,Male,Salaried,63651,542,"Tamil Nadu",31-40
CU003883,28,Male,"Self Employed",21576,846,"Tamil Nadu",21-30
CU004046,45,Female,Salaried,50725,842,Telangana,41-50
CU002930,37,Male,Salaried,51947,716,"Uttar Pradesh",31-40
CU002269,48,Male,"Self Employed",52950,594,Kerala,41-50
CU003843,52,Female,"Self Employed",35819,555,"West Bengal",51-60
CU003469,48,Male,Salaried,44663,737,delhi,41-50
CU001460,39,Male,Salaried,12000,617,Telangana,31-40
CU003466,25,Male,Salaried,34714,760,Gujarat,21-30
CU004397,55,Male,Salaried,32752,663,"Uttar Pradesh",51-60
CU000158,39,Male,Salaried,51156,526,Kerala,31-40
CU004178,21,Male,Salaried,56527,469,"Uttar Pradesh",21-30
CU000220,32,Male,"Self Employed",71347,697,Telangana,31-40
CU003471,29,Male,"Self Employed",24121,777,"Tamil Nadu",21-30
CU003024,53,Male,"Self Employed",58330,740,"Andra Pradesh",51-60
CU000223,37,Male,"Self Employed",87845,683,"Tamil Nadu",31-40
CU003640,32,Female,Salaried,53330,697,Kerala,31-40
CU000326,50,Female,Salaried,33962,900,"Tamil Nadu",41-50
CU001527,31,Male,"Self Employed",39042,679,"West Bengal",31-40
CU001123,31,Female,Salaried,31819,773,Delhi,31-40
CU003504,35,Female,Salaried,26830,561,"Uttar Pradesh",31-40
CU001039,23,Female,Salaried,70618,565,"Andra Pradesh",21-30
CU001009,49,Male,Salaried,12000,639,"Andra Pradesh",41-50
CU004180,38,Male,"Self Employed",54464,779,"Tamil Nadu",31-40
CU002210,31,Female,"Self Employed",15136,664,Maharashtra,31-40
CU003000,37,Male,Salaried,36580,688,"Tamil Nadu",31-40
CU002556,43,Male,Salaried,63727,662,"Andra Pradesh",41-50
CU000099,24,Male,Salaried,58393,712,delhi,21-30
CU001649,49,Male,Salaried,33325,622,Karnataka,41-50
CU000910,41,Male,"Self Employed",81268,649,Kerala,41-50
CU000367,50,Male,Salaried,44542,755,Kerala,41-50
CU001795,30,Male,Salaried,18007,900,Karnataka,21-30
CU002313,33,Female,Salaried,53958,787,Telangana,31-40
CU003056,37,Male,"Self Employed",36673,668,delhi,31-40
CU003787,51,Female,"Self Employed",51038,634,Kerala,51-60
CU002079,44,Male,Salaried,59920,712,Delhi,41-50
CU002319,57,Male,Salaried,51703,660,"Tamil Nadu",51-60
CU003284,35,Male,Salaried,36602,493,"Tamil Nadu",31-40
CU003144,29,Male,Salaried,64412,565,"Uttar Pradesh",21-30
CU003874,39,Male,"Self Employed",69398,744,"Uttar Pradesh",31-40
CU004210,51,Female,Salaried,101792,712,"West Bengal",51-60
CU004473,26,Male,"Self Employed",12000,628,"Uttar Pradesh",21-30
CU001735,38,Female,Salaried,51418,591,delhi,31-40
CU002028,33,Male,"Self Employed",16089,712,Gujarat,31-40
CU004515,26,Female,Salaried,27653,504,Kerala,21-30
CU004576,25,Male,"Self Employed",49460,686,Telangana,21-30
CU000637,30,Male,Salaried,59900,688,Delhi,21-30
CU002241,39,Male,Salaried,39574,777,Delhi,31-40
CU002612,29,Male,Salaried,49069,553,"Andra Pradesh",21-30
CU001547,33,Male,Salaried,78542,740,"Andra Pradesh",31-40
CU004427,38,Male,Salaried,49085,618,"Andra Pradesh",31-40
CU001021,42,Male,"Self Employed",23897,742,Maharashtra,41-50
CU002770,38,Female,Salaried,73465,667,"Andra Pradesh",31-40
CU001536,28,Male,Salaried,60327,642,"Tamil Nadu",21-30
CU000251,28,Male,Salaried,12000,827,"Uttar Pradesh",21-30
CU003946,59,Male,Salaried,63132,705,Kerala,51-60
CU000045,39,Male,Salaried,52706,685,"Andra Pradesh",31-40
CU000958,46,Male,"Self Employed",61793,557,Karnataka,41-50
CU000360,33,Male,"Self Employed",25897,718,,31-40
CU003773,21,Female,"Self Employed",42209,615,"West Bengal",21-30
CU002454,50,Male,"Self Employed",30630,750,Maharashtra,41-50
CU000994,46,Male,"Self Employed",43412,652,"Tamil Nadu",41-50
CU002182,38,Female,Salaried,49909,657,Telangana,31-40
CU001144,50,Female,Salaried,42960,604,"Andra Pradesh",41-50
CU003060,28,Male,"Self Employed",69492,645,"Andra Pradesh",21-30
CU001614,44,Male,Salaried,12000,786,DELHI,41-50
CU000137,42,Male,Salaried,49477,849,Karnataka,41-50
CU001386,36,Male,Salaried,42126,665,"West Bengal",31-40
CU002425,32,Male,Salaried,41341,575,Telangana,31-40
CU004094,27,Male,Salaried,22262,747,Telangana,21-30
CU000134,51,Male,Salaried,29524,567,"Tamil Nadu",51-60
CU002707,40,Male,"Self Employed",57078,631,Telangana,31-40
CU001226,47,Female,"Self Employed",19580,645,"Andra Pradesh",41-50
CU003714,39,Female,Salaried,12000,583,"Tamil Nadu",31-40
CU002000,33,Female,"Self Employed",78283,637,Kerala,31-40
CU003898,27,Female,Salaried,62061,781,Karnataka,21-30
CU002736,30,Male,Salaried,38526,656,"Andra Pradesh",21-30
CU002400,30,Male,Salaried,56092,533,"Uttar Pradesh",21-30
CU004207,30,Male,Salaried,50983,663,"Uttar Pradesh",21-30
CU002746,54,Male,Salaried,73396,704,"West Bengal",51-60
CU002645,36,Male,"Self Employed",60719,856,"Uttar Pradesh",31-40
CU002917,40,Female,Salaried,46322,641,Kerala,31-40
CU001929,40,Male,Salaried,28050,775,Karnataka,31-40
CU000773,44,Male,Salaried,74330,632,"Uttar Pradesh",41-50
CU004050,24,Male,Salaried,62434,697,"West Bengal",21-30
CU000191,24,Female,Salaried,30381,633,Maharashtra,21-30
CU002342,26,Male,Salaried,42099,669,DELHI,21-30
CU001126,32,Female,Salaried,27614,679,DELHI,31-40
CU001718,33,Male,Salaried,52776,574,DELHI,31-40
CU001103,41,Male,"Self Employed",39573,570,Karnataka,41-50
CU003677,31,Male,"Self Employed",75575,507,"West Bengal",31-40
CU003958,35,Female,"Self Employed",28921,751,Gujarat,31-40
CU002992,46,Male,Salaried,69187,620,Gujarat,41-50
CU003592,45,Male,Salaried,52073,744,Kerala,41-50
CU002018,41,Male,Salaried,35745,652,Kerala,41-50
CU000847,41,Male,Salaried,48510,674,Delhi,41-50
CU004349,36,Female,"Self Employed",12000,765,Telangana,31-40
CU000448,33,Male,Salaried,28551,780,Telangana,31-40
CU002052,38,Female,"Self Employed",25441,624,Karnataka,31-40
CU002107,47,Female,Salaried,29487,510,Karnataka,41-50
CU003842,62,Male,"Self Employed",37019,716,"West Bengal","60 Above"
CU003310,33,Male,Salaried,42168,839,Gujarat,31-40
CU001297,44,Male,"Self Employed",23019,737,Kerala,41-50
CU001686,43,Male,"Self Employed",73380,706,"Uttar Pradesh",41-50
CU003700,39,Female,Salaried,67284,740,Maharashtra,31-40
CU004368,40,Male,Salaried,37516,627,"Uttar Pradesh",31-40
CU002814,30,Female,Salaried,44154,663,"Andra Pradesh",21-30
CU002927,39,Male,"Self Employed",51592,597,Gujarat,31-40
CU001062,24,Male,Salaried,48818,676,Maharashtra,21-30
CU000942,49,Male,"Self Employed",44602,670,"Uttar Pradesh",41-50
CU000704,50,Male,"Self Employed",36641,497,"West Bengal",41-50
CU003018,54,Male,"Self Employed",42025,723,Karnataka,51-60
CU002326,38,Female,Salaried,13455,603,Delhi,31-40
CU000103,32,Male,"Self Employed",21042,617,"Uttar Pradesh",31-40
CU001454,53,Female,Salaried,61663,623,Delhi,51-60
CU002143,40,Male,Salaried,50019,605,"Uttar Pradesh",31-40
CU003415,32,Male,"Self Employed",60573,598,Gujarat,31-40
CU004407,47,Male,"Self Employed",80484,708,delhi,41-50
CU002342,26,Male,Salaried,42099,669,DELHI,21-30
CU003006,39,Male,"Self Employed",38637,675,"Tamil Nadu",31-40
CU000487,45,Female,Salaried,41375,621,Kerala,41-50
CU003485,47,Female,"Self Employed",31624,552,Gujarat,41-50
CU002295,21,Male,Salaried,82370,686,Karnataka,21-30
CU000609,33,Male,"Self Employed",48628,642,Gujarat,31-40
CU003932,42,Male,Salaried,60945,541,Telangana,41-50
CU000914,33,Female,"Self Employed",66946,539,"Andra Pradesh",31-40
CU003151,39,Male,"Self Employed",67641,664,Gujarat,31-40
CU001124,33,Male,"Self Employed",42514,660,Kerala,31-40
CU002370,48,Male,Salaried,71316,738,Gujarat,41-50
CU001766,21,Male,Salaried,27222,665,"Tamil Nadu",21-30
CU001876,40,Female,Salaried,57938,618,Kerala,31-40
CU000083,38,Female,Salaried,29539,810,Gujarat,31-40
CU004477,42,Male,Salaried,50260,726,"Uttar Pradesh",41-50
CU003078,33,Female,Salaried,40280,635,Kerala,31-40
CU002405,32,Female,Salaried,22339,679,Delhi,31-40
CU003729,32,Male,Salaried,20922,736,"West Bengal",31-40
CU000988,49,Male,Salaried,43937,630,Karnataka,41-50
CU002660,39,Male,Salaried,51617,831,Gujarat,31-40
CU004305,39,Male,Salaried,30755,528,"Andra Pradesh",31-40
CU001254,25,Male,Salaried,47717,675,Maharashtra,21-30
CU003143,41,Male,"Self Employed",33713,639,"Tamil Nadu",41-50
CU000902,41,Male,"Self Employed",57377,827,Kerala,41-50
CU002516,23,Male,"Self Employed",70061,671,Delhi,21-30
CU002636,37,Male,Salaried,60807,726,Kerala,31-40
CU004482,27,Male,"Self Employed",59709,682,"Uttar Pradesh",21-30
CU002626,27,Male,"Self Employed",43039,752,Kerala,21-30
CU002974,37,Male,Salaried,34256,546,"Tamil Nadu",31-40
CU000881,29,Male,"Self Employed",64134,677,Delhi,21-30
CU002383,26,Male,"Self Employed",24044,762,"Uttar Pradesh",21-30
CU001428,46,Male,Salaried,34667,587,"Andra Pradesh",41-50
CU001931,35,Male,"Self Employed",20511,485,"Andra Pradesh",31-40
CU000014,34,Female,"Self Employed",35416,663,"Tamil Nadu",31-40
CU003499,38,Male,"Self Employed",94506,606,Karnataka,31-40
CU000928,27,Female,Salaried,28278,808,Gujarat,21-30
CU003495,41,Female,"Self Employed",81369,636,"West Bengal",41-50
CU003211,46,Male,Salaried,64805,649,Gujarat,41-50
CU000600,35,Male,Salaried,35683,666,"West Bengal",31-40
CU000058,30,Male,Salaried,53876,749,Maharashtra,21-30
CU004439,30,Male,"Self Employed",34480,888,Karnataka,21-30
CU001163,39,Male,Salaried,44816,722,"Andra Pradesh",31-40
CU003105,43,Male,"Self Employed",59516,769,delhi,41-50
CU002786,44,Female,Salaried,40131,690,Delhi,41-50
CU002216,27,Female,"Self Employed",49671,870,"Andra Pradesh",21-30
CU001035,24,Female,"Self Employed",59029,680,"Tamil Nadu",21-30
CU003723,46,Female,"Self Employed",45985,634,Telangana,41-50
CU002557,30,Female,"Self Employed",42720,649,Maharashtra,21-30
CU004340,29,Male,Salaried,62797,705,Gujarat,21-30
CU004495,37,Male,"Self Employed",37263,605,Karnataka,31-40
CU000041,35,Male,"Self Employed",99403,583,Gujarat,31-40
CU004326,49,Male,Salaried,64174,693,Gujarat,41-50
CU000300,55,Male,Salaried,74423,661,"West Bengal",51-60
CU002026,37,Male,Salaried,39304,590,"West Bengal",31-40
CU001459,34,Male,"Self Employed",50361,681,"Andra Pradesh",31-40
CU003257,37,Male,"Self Employed",83834,698,Maharashtra,31-40
CU000344,43,Female,Salaried,13749,632,"Uttar Pradesh",41-50
CU004514,39,Male,Salaried,39200,853,delhi,31-40
CU003197,42,Female,"Self Employed",48786,653,"Andra Pradesh",41-50
CU004255,57,Female,"Self Employed",41734,638,Kerala,51-60
CU004047,37,Female,"Self Employed",71860,758,Telangana,31-40
CU000201,48,Male,Salaried,24469,787,"Tamil Nadu",41-50
CU001335,40,Female,Salaried,30638,627,Telangana,31-40
CU001760,32,Female,Salaried,23991,756,"West Bengal",31-40
CU002671,47,Male,Salaried,19056,528,"Tamil Nadu",41-50
CU003795,42,Male,Salaried,40665,480,Telangana,41-50
CU002198,32,Male,"Self Employed",12000,619,"Uttar Pradesh",31-40
CU000784,48,Female,Salaried,51722,659,Maharashtra,41-50
CU002834,23,Female,Salaried,40154,626,Gujarat,21-30
CU003088,33,Male,"Self Employed",83803,746,Gujarat,31-40
CU001005,35,Male,"Self Employed",63749,581,"Andra Pradesh",31-40
CU002360,32,Male,Salaried,28413,733,"Uttar Pradesh",31-40
CU000018,35,Male,Salaried,40606,712,"West Bengal",31-40
CU000162,47,Male,"Self Employed",12000,564,Maharashtra,41-50
CU001892,47,Male,Salaried,42923,573,"Tamil Nadu",41-50
CU004412,30,Male,"Self Employed",32073,583,Telangana,21-30
CU002751,21,Female,Salaried,51201,699,Delhi,21-30
CU000197,38,Male,Salaried,70569,697,Maharashtra,31-40
CU002939,45,Male,Salaried,12000,544,delhi,41-50
CU002039,32,Male,Salaried,51620,494,"Andra Pradesh",31-40
CU003307,25,Male,Salaried,59696,649,Maharashtra,21-30
CU003586,21,Male,Salaried,53386,608,"West Bengal",21-30
CU003576,29,Male,Salaried,61585,693,"Uttar Pradesh",21-30
CU002662,43,Female,Salaried,70966,582,Telangana,41-50
CU003625,38,Female,Salaried,56011,570,"West Bengal",31-40
CU001476,30,Female,Salaried,12000,465,Gujarat,21-30
CU003058,54,Male,Salaried,59795,813,,51-60
CU003168,43,Male,"Self Employed",38631,681,"Andra Pradesh",41-50
CU003936,39,Male,Salaried,68824,776,Kerala,31-40
CU003203,33,Male,"Self Employed",32886,705,Karnataka,31-40
CU002299,36,Female,Salaried,72272,683,Maharashtra,31-40
CU000759,34,Male,Salaried,12000,589,Gujarat,31-40
CU003769,26,Male,"Self Employed",29317,543,Maharashtra,21-30
CU002690,24,Female,Salaried,54784,722,Maharashtra,21-30
CU004269,47,Male,Salaried,65595,617,Gujarat,41-50
CU002025,40,Male,"Self Employed",65647,777,Gujarat,31-40
CU004146,46,Male,"Self Employed",49771,640,delhi,41-50
CU001439,52,Male,Salaried,39799,660,Delhi,51-60
CU002001,33,Male,Salaried,39344,774,"West Bengal",31-40
CU003967,21,Male,Salaried,53867,742,"West Bengal",21-30
CU002965,22,Male,Salaried,69645,695,"West Bengal",21-30
CU004573,41,Male,Salaried,60721,812,"Tamil Nadu",41-50
CU003321,41,Male,Salaried,78384,699,"Tamil Nadu",41-50
CU003338,43,Female,Salaried,35951,610,Karnataka,41-50
CU000331,30,Male,Salaried,12000,816,Karnataka,21-30
CU000286,46,Male,"Self Employed",45207,561,"Uttar Pradesh",41-50
CU003594,48,Male,Salaried,48077,617,"West Bengal",41-50
CU003298,31,Male,Salaried,31836,868,"Uttar Pradesh",31-40
CU004489,46,Male,Salaried,45528,793,Telangana,41-50
CU000189,31,Female,"Self Employed",37245,705,"Tamil Nadu",31-40
CU001433,44,Female,Salaried,73040,662,Maharashtra,41-50
CU002317,33,Male,"Self Employed",44440,776,"Tamil Nadu",31-40
CU004053,39,Male,Salaried,42999,714,Gujarat,31-40
CU002545,21,Male,Salaried,28996,580,"West Bengal",21-30
CU001751,31,Male,Salaried,30865,582,"West Bengal",31-40
CU003533,31,Male,"Self Employed",29410,548,"Tamil Nadu",31-40
CU002705,35,Male,Salaried,58668,757,"West Bengal",31-40
CU002162,30,Female,"Self Employed",51241,757,Kerala,21-30
CU002805,45,Male,Salaried,49460,680,Telangana,41-50
CU003172,22,Male,"Self Employed",56321,636,Karnataka,21-30
CU004044,39,Male,"Self Employed",12000,605,Delhi,31-40
CU000553,33,Male,Salaried,39098,767,"Andra Pradesh",31-40
CU000575,39,Male,Salaried,63826,842,Karnataka,31-40
CU001679,41,Female,"Self Employed",18337,657,Karnataka,41-50
CU002722,51,Male,Salaried,55679,519,Kerala,51-60
CU004289,35,Male,Salaried,34123,668,Kerala,31-40
CU004039,47,Male,"Self Employed",56367,624,Telangana,41-50
CU001961,36,Female,Salaried,58317,586,Karnataka,31-40
CU001992,37,Male,Salaried,50452,710,Karnataka,31-40
CU003710,42,Male,Salaried,37724,610,Maharashtra,41-50
CU003281,33,Male,Salaried,18741,697,"Tamil Nadu",31-40
CU001081,40,Female,"Self Employed",70062,709,Telangana,31-40
CU003399,41,Female,"Self Employed",58188,687,"Andra Pradesh",41-50
CU002419,29,Male,Salaried,64322,669,DELHI,21-30
CU000100,28,Male,Salaried,43746,765,Karnataka,21-30
CU002904,42,Male,Salaried,30115,605,"Uttar Pradesh",41-50
CU003390,32,Female,Salaried,72167,775,"Tamil Nadu",31-40
CU003380,33,Male,"Self Employed",14107,900,Telangana,31-40
CU000855,47,Male,"Self Employed",43811,648,Kerala,41-50
CU003872,37,Male,"Self Employed",59142,615,"West Bengal",31-40
CU002873,28,Female,Salaried,67956,738,"Tamil Nadu",21-30
CU001773,23,Male,"Self Employed",35698,736,Telangana,21-30
CU002702,23,Male,Salaried,69571,878,Gujarat,21-30
CU003245,39,Male,"Self Employed",64929,733,Maharashtra,31-40
CU004426,49,Male,"Self Employed",60984,712,Karnataka,41-50
CU002246,21,Male,Salaried,50040,733,Maharashtra,21-30
CU002275,45,Female,"Self Employed",23981,649,Karnataka,41-50
CU003156,36,Male,"Self Employed",15504,665,Karnataka,31-40
CU000646,55,Male,"Self Employed",67712,580,Kerala,51-60
CU000809,23,Male,Salaried,18683,771,Kerala,21-30
CU002837,21,Male,Salaried,26602,606,"Andra Pradesh",21-30
CU000231,43,Male,Salaried,37587,783,Kerala,41-50
CU004582,51,Female,"Self Employed",41861,692,Maharashtra,51-60
CU003695,50,Female,"Self Employed",60970,717,"Tamil Nadu",41-50
CU003859,45,Male,Salaried,37642,745,Delhi,41-50
CU000427,40,Male,"Self Employed",38136,713,Gujarat,31-40
CU001519,64,Female,Salaried,46943,780,Maharashtra,"60 Above"
CU003739,45,Male,Salaried,49994,724,"Tamil Nadu",41-50
CU003153,42,Male,"Self Employed",64756,720,Gujarat,41-50
CU002638,34,Male,"Self Employed",71902,625,"Uttar Pradesh",31-40
CU002388,36,Male,Salaried,57704,587,"Andra Pradesh",31-40
CU001273,21,Male,Salaried,37779,779,Gujarat,21-30
CU004150,33,Female,Salaried,50228,642,"Uttar Pradesh",31-40
CU002428,33,Male,Salaried,24229,780,Telangana,31-40
CU001402,52,Female,Salaried,54828,659,"Tamil Nadu",51-60
CU000408,35,Female,"Self Employed",42313,752,Gujarat,31-40
CU000135,21,Male,"Self Employed",74920,705,Delhi,21-30
CU002458,24,Male,Salaried,59713,763,"West Bengal",21-30
CU001938,44,Male,Salaried,40539,705,,41-50
CU000593,32,Male,"Self Employed",47470,584,Kerala,31-40
CU004165,39,Female,Salaried,49603,877,Gujarat,31-40
CU002673,25,Male,"Self Employed",59260,504,"Tamil Nadu",21-30
CU003645,38,Male,Salaried,41218,702,"West Bengal",31-40
CU002237,39,Female,Salaried,52831,711,Maharashtra,31-40
CU003093,52,Male,Salaried,12000,697,Karnataka,51-60
CU004589,47,Female,Salaried,56154,670,"West Bengal",41-50
CU003492,36,Male,Salaried,54289,647,"Tamil Nadu",31-40
CU000545,25,Male,Salaried,61264,751,Gujarat,21-30
CU000882,31,Female,Salaried,12682,706,"West Bengal",31-40
CU003393,38,Male,Salaried,29244,667,Karnataka,31-40
CU004400,45,Female,Salaried,12000,608,"Tamil Nadu",41-50
CU003751,38,Male,"Self Employed",63209,616,"Andra Pradesh",31-40
CU000580,29,Male,"Self Employed",54264,556,Gujarat,21-30
CU000029,43,Male,"Self Employed",88809,590,Karnataka,41-50
CU000561,38,Male,Salaried,16028,900,Delhi,31-40
CU001730,47,Female,Salaried,39592,554,"Uttar Pradesh",41-50
CU004455,45,Male,"Self Employed",29246,860,Karnataka,41-50
CU003621,23,Female,Salaried,45808,737,"West Bengal",21-30
CU002853,48,Male,"Self Employed",55694,634,Maharashtra,41-50
CU001495,38,Male,"Self Employed",54524,579,Telangana,31-40
CU003781,46,Male,Salaried,51063,649,"Tamil Nadu",41-50
CU004502,38,Male,"Self Employed",58903,681,"Uttar Pradesh",31-40
CU003148,40,Male,Salaried,49926,616,Maharashtra,31-40
CU003550,29,Male,Salaried,54245,774,Telangana,21-30
CU000701,45,Male,Salaried,80635,613,Karnataka,41-50
CU003016,51,Male,"Self Employed",49592,561,Telangana,51-60
CU002242,42,Male,"Self Employed",82752,593,Karnataka,41-50
CU002105,27,Female,Salaried,12976,587,"West Bengal",21-30
CU000757,30,Female,"Self Employed",19308,768,"Uttar Pradesh",21-30
CU002499,26,Female,"Self Employed",41767,638,"Uttar Pradesh",21-30
CU000124,33,Male,"Self Employed",50795,866,"West Bengal",31-40
CU001838,42,Female,"Self Employed",27285,623,"Uttar Pradesh",41-50
CU002972,45,Female,Salaried,32343,806,"Tamil Nadu",41-50
CU003215,43,Female,"Self Employed",70175,722,Telangana,41-50
CU002966,45,Female,Salaried,72334,708,Telangana,41-50
CU002999,60,Female,Salaried,57124,661,"West Bengal",51-60
CU002230,32,Male,Salaried,60981,680,Delhi,31-40
CU001127,39,Male,Salaried,103363,704,Kerala,31-40
CU002044,37,Female,Salaried,57738,637,Karnataka,31-40
CU000330,47,Female,Salaried,22166,662,delhi,41-50
CU002976,24,Male,"Self Employed",45441,496,Karnataka,21-30
CU001250,27,Male,Salaried,62134,715,"Tamil Nadu",21-30
CU001551,21,Male,Salaried,52075,798,Gujarat,21-30
CU003826,28,Female,"Self Employed",34108,724,Kerala,21-30
CU002843,39,Male,"Self Employed",69724,847,"Andra Pradesh",31-40
CU000108,28,Male,Salaried,29872,551,,21-30
CU002099,35,Male,"Self Employed",39144,708,Telangana,31-40
CU000663,42,Female,Salaried,25354,649,"West Bengal",41-50
CU000101,28,Male,Salaried,55080,632,Maharashtra,21-30
CU001621,22,Male,Salaried,57617,688,Telangana,21-30
CU003924,39,Female,Salaried,12000,682,Gujarat,31-40
CU000554,47,Male,Salaried,30808,566,"Andra Pradesh",41-50
CU002218,43,Male,"Self Employed",50450,772,"Uttar Pradesh",41-50
